,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
5337,592,2182241,4,6.0,Mn coatings on wkly-consolidated silt,mud,101,mud,sediment_clastic,sediment,mud,101
5338,592,2182241,36,38.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5339,592,2182241,38,40.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5340,592,2182241,40,42.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5341,592,2182241,42,44.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5342,592,2182241,44,46.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5343,592,2182241,46,48.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5344,592,2182241,48,50.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5345,592,2182241,50,52.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5346,592,2182241,52,54.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5347,592,2182241,54,56.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5348,592,2182241,56,58.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5349,592,2182241,58,60.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5350,592,2182241,60,62.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5351,592,2182241,62,64.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5352,592,2182241,64,66.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5353,592,2182241,66,68.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5354,592,2182241,68,70.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5355,592,2182241,70,72.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5356,592,2182241,72,74.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5357,592,2182241,74,76.0,White clay,mud,101,mud,sediment_clastic,sediment,mud,101
5358,592,2182241,76,78.0,Gritty clay,mud,101,mud,sediment_clastic,sediment,mud,101
