,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
234,475,810343,931,931.97,shear zone: fg grey shale; highly broken.,mudstone,100,mudstone,clastic,sedimentary_rock,"mudstone, bituminous_coal","101, 50"
235,475,810343,937,972.6,NAVI. Finished in pressurised shale; could not continue hole due to continuing cave in and too much torque on rods.,mudstone,100,mudstone,clastic,sedimentary_rock,"mudstone, dolerite, aeolinite, comenditic_rhyolite","101, 59, 50, 48"
