,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
6512,2670,2470287,96,98.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6513,2670,2470287,98,100.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6514,2670,2470287,100,102.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6515,2670,2470287,114,116.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6516,2670,2470287,116,118.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6517,2670,2470287,118,120.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6518,2670,2470287,120,122.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6519,2670,2470287,122,124.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6520,2670,2470287,124,126.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6521,2670,2470287,130,132.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6522,2670,2470287,134,136.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6523,2670,2470287,136,138.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6524,2670,2470287,138,140.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6525,2670,2470287,142,144.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6526,2670,2470287,144,146.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6527,2670,2470287,146,148.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6528,2670,2470287,148,150.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6529,2670,2470287,150,152.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6530,2670,2470287,152,154.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6531,2670,2470287,154,156.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6532,2670,2470287,156,158.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6533,2670,2470287,158,160.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6534,2670,2470287,160,162.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6535,2670,2470287,164,166.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6536,2670,2470287,166,168.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6537,2670,2470287,168,170.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6538,2670,2470287,170,172.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6539,2670,2470287,172,174.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
6540,2670,2470287,174,176.0,interbedded goethite ansd shale,mudstone,101,mudstone,clastic,sedimentary_rock,mudstone,101
