,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
414,475,1209857,355,355.8,FOSSILS IN GREY GREEN SILTSTONE - CONICAL WITH ROUNDED END CENTRAL HOLLOW COLOUMN WITH RADIAL GROWTH PATTERN AND BROKEN SHELL FRAGS                                                                                                                       ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
415,475,1209857,355,361.8,MASSIVE GREY SILTY SANDS FINE TO MEDIUM GRAINED JARLEMI SILTSTONE -  NO SIGNIFICANT FEATURES                                                                                                                                                              ,mudstone,100,mudstone,clastic,sedimentary_rock,sand,100
416,475,1209857,361,362.5,WEAK OXIDISED SILTY SANDS - SILTSTONE MASSIVE                                                                                                                                                                                                             ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,101
417,475,1209857,362,378.0,MASSIVE FEATURELESS GREY SILTSTONE  MINOR FG SANDS - GETTING SLIGHTLY MORE SANDY WITH DEPTH - VERY GRADATIONAL                                                                                                                                            ,mudstone,100,mudstone,clastic,sedimentary_rock,sand,100
418,475,1209857,386,388.6,SOFT SANDY MINOR SILT DARK MED GREY SANDS                                                                                                                                                                                                                 ,mud,100,mud,sediment_clastic,sediment,sand,101
419,475,1209857,414,416.5,FINE SILTY SANDS - MORE SILT THAN ABOVE MASSIVE GREY                                                                                                                                                                                                      ,mud,100,mud,sediment_clastic,sediment,mud,100
420,475,1209857,429,436.6,SILTY SANDS MASIVE GREY SOFT - MOD HARD SOME PATCHES HAVE INCREASED SAND CONTENT                                                                                                                                                                          ,sand,100,sand,sediment_clastic,sediment,sand,100
421,475,1209857,436,436.8,ORGANIC RICH LAYER WITH TRACES OF PYRITE FG SANDS BLACK ORGANIC MATERIAL * non distinct boundary of alexander and wallal                                                                                                                                  ,massive_sulphide,100,massive_sulphide,ore,mineralisation,"sand, alluvium","100, 71"
422,475,1209857,436,449.4,MEDIUM TO COARSE SAND WITH TRACES OF ORGANICS - DECREASE WITH DEPTH.                                                                                                                                                                                      ,sand,100,sand,sediment_clastic,sediment,sand,100
423,475,1209857,449,452.0,MEDIUM TO COARSE SAND SLIGHT MORE SILT THAN ABOVE - POORLY CONSOLIDATED  CORE LOSS AT 449.2- 449.4  ALSO  .1 AT 452M                                                                                                                                      ,mud,100,mud,sediment_clastic,sediment,mud,100
424,475,1209857,452,452.8,FINE TO MEDIUM SILTY SAND COMPACT HARD GREY CONSOLIDATED                                                                                                                                                                                                  ,sand,100,sand,sediment_clastic,sediment,sand,100
425,475,1209857,462,466.3,SILTY SANDS GRADE TO SILT AT BASE OF INTERVAL LAMINATED TO MASSIVE                                                                                                                                                                                        ,mud,100,mud,sediment_clastic,sediment,mud,100
426,475,1209857,472,472.3,MASSIVE HARD GREY FG SILT SAND                                                                                                                                                                                                                            ,sand,101,sand,sediment_clastic,sediment,sand,101
427,475,1209857,475,475.9,HARD BAND OF SANDSTONE COMPACT                                                                                                                                                                                                                            ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
428,475,1209857,481,484.25,SILT SANDS HARD COMPACT WITH TRACES ORGANIC BLACK MATERIAL - POORLY DEFINED LAMINATIONS                                                                                                                                                                   ,mud,100,mud,sediment_clastic,sediment,mud,100
429,475,1209857,491,492.1,FINE SILT WITH COARSE GRAINED SANDY 10CM THICK UNIT IN CENTER OF UNIT - FINING UP SEQUENCE ??                                                                                                                                                             ,mud,100,mud,sediment_clastic,sediment,mud,100
430,475,1209857,516,519.1,SIMILAR TO ABOVE WITH MORE SILT COMPONENT SLIGHTLY HARDER MORE COMPACT                                                                                                                                                                                    ,mud,100,mud,sediment_clastic,sediment,mud,100
431,475,1209857,519,529.6,BROWN ORGANIC STAINED MEDIUM GRAINED SANDSTONE POORLY CONSOLIDATED                                                                                                                                                                                        ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
