,CODE,UNITNAME,DESCRIPTN,lithos,distance,GROUP_,FORMATION,MEMBER,BED,LITHNAME1,LITHNAME2,ROCKTYPE1,ROCKTYPE2
10706,A-AN-mg,Annean Supersuite,"Metagranite, undivided; includes deeply weathered rock","granite,metagranite,",199558.98811585605,,,,,metagranitic rock,,meta-igneous felsic intrusive,
10507,A-ANC-mg,Cullculli Suite,"Metatonalite, metagranodiorite, and metatrondhjemite; typically hornblende-bearing, and with common mafic clots","metatonalite,tonalite,diorite,granodiorite,mafic,metagranodiorite,metatrondhjemite,trondhjemite",167910.1584395306,,,,,metagranitic rock,,meta-igneous felsic intrusive,
10377,A-ANK-gt,Mount Kenneth Suite,"Tonalite, typically with plagioclase and hornblende phenocrysts; locally sheared; includes rafts of amphibolite; metamorphosed","tonalite,amphibolite",208019.69115960243,,,,,tonalite,,igneous granitic,
10622,A-ANK-jmg-md,Mount Kenneth Suite,"Metagranitic rock, locally sheared with abundant rafts and lenses of sheared quartzite, psammite, and pelite","granitic rock,pelite,psammite,quartzite",144874.02020782922,,,,,metagranitic rock,metasiliciclastic rock,meta-igneous felsic intrusive,metasedimentary siliciclastic
11184,A-ANK-mg,Mount Kenneth Suite,"Metagranitic rock, locally sheared; includes deeply weathered rocks","granitic rock,",123718.7074058033,,,,,metagranitic rock,,meta-igneous felsic intrusive,
10192,A-ANat-ogy,Atley Igneous Complex,Gabbro with well developed modal layering of pyroxene and plagioclase; locally grading into leucogabbro and gabbronorite; metamorphosed,"gabbro,gabbro,gabbronorite,leucogabbro",207400.6902477388,,Atley Igneous Complex,,,gabbro,,igneous mafic intrusive,
10511,A-ANct-gtl,Cue Tonalite,Leucocratic tonalite; medium to coarse grained; metamorphosed,"tonalite,",217164.40419956876,,Cue Tonalite,,,tonalite,,igneous granitic,
10439,A-ANna-xony-any,Narndee Igneous Complex,"Layered gabbro, with dunite, pyroxenite, anorthosite, and hornblende gabbro; local well developed cyclical layering on a hundred metre scale; metamorphosed","gabbro,anorthosite,dunite,gabbro",126293.35738523939,,Narndee Igneous Complex,,,mafic intrusive rock; undivided,ultramafic intrusive rock; undivided,igneous mafic intrusive,igneous ultramafic intrusive
10823,A-ANnl-xom-ax,"Narndee Igneous Complex, lower zone",Gabbronorite interlayered with pyroxenite; local interstitial hornblende; metamorphosed,"gabbro,gabbronorite,",127803.81396085484,,Narndee Igneous Complex,"Narndee Igneous Complex, lower zone",,gabbronorite,pyroxenite (intrusive),igneous mafic intrusive,igneous ultramafic intrusive
10789,A-ANnm-xom-mat,"Narndee Igneous Complex, middle zone","Megacycles of serpentinite grading into pyroxenite, gabbronorite, and anorthosite; typically with hornblende-oikocrystic units; gabbroic rocks dominant; metamorphosed","serpentinite,anorthosite,gabbro,gabbronorite",128685.3531161131,,Narndee Igneous Complex,"Narndee Igneous Complex, middle zone",,gabbronorite,serpentinite derived from intrusive rock,igneous mafic intrusive,meta-igneous ultramafic intrusive
11183,A-ANnu-xap-ao,"Narndee Igneous Complex, ultramafic zone",Pyroxene peridotite interlayered with olivine pyroxenite grading into orthopyroxenite; minor hornblende typically as oikocrysts around pyroxene; typically serpentinized; locally strongly sheared,"orthopyroxenite,peridotite,",126237.73665669737,,Narndee Igneous Complex,"Narndee Igneous Complex, ultramafic zone",,pyroxene peridotite,olivine pyroxenite,igneous ultramafic intrusive,igneous ultramafic intrusive
10596,A-ANwb-mog,"Windimurra Igneous Complex, border zone",Metagabbro with 3--5 mm grain size and amphibole pseudomorphs after pyroxenes; locally grading into dolerite; metamorphosed,"gabbro,metagabbro,dolerite",180392.3936759643,,Windimurra Igneous Complex,"Windimurra Igneous Complex, border zone",,metagabbro,,meta-igneous mafic intrusive,
