UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,,,
Woolgra Andesite Member,andesite,2755,2755,,,
Yalgowra Suite,peridotite,2735,2711,,,
Yaloginda Formation,"psammitic, pelitic schist",2815,2800,,,
Yarrabubba Monzogranite,"monzogranite, quartz veins, pseudotachylite, pegmatite",2650,2650,,,
Yilgarn Craton granites,"granite, mafic",3010,2600,,,
Youangarra Volcanics Member,mafic schist,2814,2814,,,
Youanmi Igneous Complex,gabbro,2825,2813,,,
"Youanmi Igneous Complex, border zone",dolerite,2825,2813,,,
"Youanmi Igneous Complex, lower zone",ultramafic schist,2825,2813,,,
"Youanmi Igneous Complex, middle zone","leucogabbro, gabbro",2825,2813,,,
"Youanmi Igneous Complex, upper zone","magnetitite, leucogabbro",2825,2813,,,
Youanmi Terrane greenstones,"mafic, chert, banded_iron_formation, quartzite",3131,2700,,,
Yuinmery Volcanics Member,"felsic schist, rhyolitic schist",2813,2813,,,
