UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Coolyena Group,"Chalk, greensand, glauconitic sandstone, siltstone, marl; characteristically glauconitic",113.0,66.0,"chalk,greenstone,sandstone,mudstone,marl","101,74,101,101,101"
Coolyia Creek Granodiorite,Metagranodiorite to metatonalite; clotty hornblende texture; strongly foliated,3469.0,3469.0,"granodiorite,tonalite,hornblendite","101,101,59"
Coomb Bore Monzogranite,"Medium- to coarse-grained, foliated metamonzogranite; includes minor syenogranite and granodiorite",2691.0,2686.0,"monzogranite,syenogranite,granodiorite","101,101,101"
Coomberarie Formation,"Silty sandstone, siltstone",1000.0,541.0,"sandstone,mudstone","101,101"
Coomberdale Subgroup,"Sandstone, siltstone, dolostone, stromatolitic dolostone and silicified dolostone",1600.0,541.0,"sandstone,mudstone,dolostone,dolostone,dolostone","101,101,101,101,101"
Coonabildie Formation,"Sandstone, micaceous siltstone and shale",1229.0,1080.0,"sandstone,mudstone,mudstone","101,101,101"
Coondamar Formation,Metamorphosed siliciclastic and mafic igneous rocks,3200.0,3176.0,"siliciclastic_sediment,mafic","74,100"
Coondina Monzogranite,Biotite monzogranite; leucocratic; medium grained to weakly porphyritic,2945.0,2919.0,"monzogranite,leucitic_rock","101,74"
Coondra Formation,"Coarse-grained sandstone, pebble to boulder conglomerate",1000.0,720.0,"sandstone,gravel,conglomerate","101,92,101"
Coonieena Basalt,Massive and pillowed basalt and komatiitic basalt; local silicified basaltic andesite and hyaloclastic breccia; metamorphosed,3016.0,2988.0,"basalt,basalt,andesite,breccia","101,101,101,101"
Cooninia Inlier granitic unit,Granite to granodiorite; metamorphosed and variably foliated,3530.0,2895.0,"granite,granodiorite","101,101"
Coor-de-wandy Formation,Siliciclastic sedimentary rock; metamorphosed,2500.0,1600.0,conglomerate,56
Cootharra Monzogranite,monzogranite,2650.0,2600.0,monzogranite,-1
Cooya Pooya Dolerite,Fine- to medium-grained dolerite sill; locally forms dykes within Hardey Formation,2749.0,2735.0,"dolerite,till","100,60"
Copperfield Monzogranite,Biotite metamonzogranite with prominent mineral lineation,3010.0,2600.0,"monzogranite,glaciomarine_deposit","101,51"
Coppin Gap Granodiorite,"Biotite granodiorite and tonalite; medium grained, massive to seriate, weakly foliated; local mafic xenoliths; weakly metamorphosed",3317.0,3314.0,"granodiorite,tonalite,mafic","101,101,100"
Corboy Formation,Siliciclastic sedimentary rocks; metamorphosed,3228.0,3190.0,conglomerate,56
Corner Well Gabbro,"Modally layered olivine gabbro grading into olivine gabbronorite interlayered with lherzolite, dunite, pyroxenite, and minor anorthosite; metamorphosed",2813.0,2813.0,"gabbro,gabbroid,peridotite,dacite,pyroxenite,anorthosite","101,101,101,80,101,101"
Corner Well Gabbro Member,gabbro,2813.0,2813.0,gabbro,-1
Cotton Well Granodiorite,Muscovite granodiorite; fine to medium grained; weakly foliated; metamorphosed,3318.0,3309.0,granodiorite,101
Coucal Formation,Felsic volcanic rocks; local felsic volcanic breccia; metamorphosed,3515.0,3498.0,"felsic,breccia","100,101"
Courin Granodiorite,"tonalite, monzogranite, diorite",2742.0,2742.0,"tonalite, monzogranite, diorite",-1
Courlbarloo Tonalite,tonalite,2813.0,2813.0,tonalite,-1
Cover,"mud, ferricrete, colluvium, alluvium",10.0,0.0,"mud, ferricrete, colluvium, alluvium",-1
Crossroads Granodiorite,"granodiorite, monzogranite",2724.0,2724.0,"monzogranite, granodiorite",-1
Crowhurst Group,"Siltstone, shale, dolomite, stromatolitic dolomite, and sandstone",1797.0,1640.0,"mudstone,mudstone,dolostone,dolostone,sandstone","101,101,101,101,101"
Cue Tonalite,tonalite,2759.0,2759.0,tonalite,-1
Cullculli Suite,tonalite,2787.0,2733.0,"mafic, tonalite, exotic_crystalline_igneous_rock, granodiorite",-1
Cundaline Formation,"Shale, siltstone, and wacke; local sandstone and conglomerate; metamorphosed",3022.0,3015.0,"mudstone,mudstone,wacke,sandstone,conglomerate","101,101,101,101,101"
Cundimurra Monzogranite,monzogranite,2670.0,2670.0,"migmatite, monzogranite, syenogranite",-1
Dalgaringa Supersuite,Metagranite and granitic gneiss,2002.0,1974.0,"granite,gneiss","101,101"
Dalton Suite,Metamorphosed ultramafic intrusive rock,3185.0,3185.0,"mafic, coarse_grained_plutonic_crystalline_igneous_rock",100
Davis Dolerite,Dolerite in sills and dykes; fine to medium grained,523.0,523.0,"dolerite,felsic","100,53"
Davitt Syenogranite,"Muscovite--garnet syenogranite; medium grained, foliated; weakly metamorphosed",3324.0,3277.0,syenogranite,101
Day Rock Granodiorite,Granodiorite; metamorphosed,2676.0,2676.0,granodiorite,101
Deception Hill Microgranite,"Massive, quartz- and feldspar-phyric microgranite; metamorphosed",2787.0,2700.0,"vein,monzogranite","101,75"
Despair Granite,"Biotite monzogranite, foliated to locally massive; includes lenses of biotite schist, quartzite, metamorphosed banded iron-formation, amphibolite, and quartzite",2800.0,2500.0,"monzogranite,schist,quartzite,amphibolite,quartzite","101,101,101,101,101"
Devonian conglomerates associated with reef complexes,Frasnian and Famennian (locally ?Givetian) boulder to cobble conglomerate and sandstone,387.7,358.9,"gravel,conglomerate,sandstone","56,101,101"
Devonian sedimentary rocks  Southern Carnarvon Basin,"Sandstone, limestone, conglomerate",387.7,358.9,"sandstone,limestone,conglomerate","101,101,101"
Diemals Formation,Sedimentary siliciclastic rocks; metamorphosed,2701.0,2654.0,conglomerate,56
Dingo Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",2930.0,2924.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Doolgunna Formation,"Arkosic sandstone and quartz wacke; minor conglomerate, quartz siltstone, and laminated quartz sandstone",2170.0,1600.0,"sandstone,wacke,conglomerate,mudstone,sandstone","101,101,101,101,101"
Double Bar Formation,Basalt; massive or pillowed; locally schistose; metamorphosed,3515.0,3490.0,basalt,101
Dougalls Suite,Foliated metatonalite and minor metagranodiorite with abundant inclusions of amphibolite and mafic granulite; interlayered mafic granulite and amphibolite,1849.0,1849.0,"tonalite,granodiorite,amphibolite,granulite,granulite,amphibolite","101,101,101,101,101,000"
Dresser Formation,Chert and mafic volcanic rock; metamorphosed,3481.0,3477.0,"chert,mafic","101,100"
Dromedary Bore Granite,granodiorite,2945.0,2945.0,"gneiss, agate, micaite, granodiorite",-1
Duck Creek Dolomite,"Thin- to very thick-bedded dolostone, commonly stromatolitic or brecciated; locally silicified",2008.0,1799.0,"dolostone,migmatite,breccia","101,78,82"
Duerdin Group,"Polymictic conglomerate, siltstone, mudstone, lithic and feldspathic sandstone, quartz sandstone, dolomite, and tillite",720.0,541.0,"conglomerate,mudstone,mudstone,pisolith,sandstone,sandstone,dolostone,till","101,101,101,75,101,101,101,101"
Duffer Formation,"Felsic volcanic rock; local basalt, chert, and felsic schist; metamorphosed",3474.0,3459.0,"felsic,basalt,chert,schist","100,101,101,101"
Durba Sandstone,"Sandstone, lesser pebble congomerate; characteristically purplish red-brown colour",635.0,485.4,"sandstone,conglomerate","101,73"
Durlacher Supersuite,Massive metagabbro with xenocrysts of quartz and K-feldspar,1677.0,1674.0,"granite, gabbro",101
Dwarf Well Granite,Coarse-grained biotite metamonzogranite,1773.0,1773.0,monzogranite,101
Eastern Goldfields Superterrane greenstones,Amphibolite,2960.0,2650.0,"chloritolite, basalt, chert, ultramafic_rock, mafic, conglomerate, gravel, fine_grained_volcanic_normal_crystalline_igneous_rock, peridotite, volcaniclastic_mud, mud, gabbro, subtidal_deposits, vein, pyroxenite, andesite, coarse_grained_plutonic_crystalline_igneous_rock, schist, ultrabasic_volcanic_rock, sandstone, dolerite, magnetitite, gneiss, dacite, rhyolite, norite, serpentinite, kalsilitic_rock, amphibolite, iron_sediment, felsic, bituminous_coal, mudstone, talc_rock, slate",101
Eastman Granite,"Medium- to coarse-grained, leucocratic biotite syenogranite and monzogranite",1804.0,1804.0,"syenogranite,monzogranite","101,101"
Edamurta Gabbro,"anorthosite, leucogabbro",2820.0,2733.0,"anorthosite, leucogabbro",-1
Eddy Suite,"Metagranodiorite, metadiorite and metagabbro, granitic gneiss, lenses of metasedimentary rocks, and pegmatite",1671.0,1660.0,"granodiorite,diorite,gabbro,gneiss,clastic_sedimentary_rock,pegmatite","101,101,101,101,61,101"
Ediacaran--Cambrian sedimentary rocks  Officer Basin,"Sandstone, conglomerate, and siltstone, undifferentiated; Centralian Superbasin Supersequence 4",635.0,510.0,"sandstone,conglomerate,mudstone","101,101,101"
Edmund Group  Depositional package 1,"Stromatolitic and non-stromatolitic dolostone, dolomitic siltstone, sandstone, siltstone, and conglomerate",1679.0,1610.0,"migmatite,dolostone,mudstone,sandstone,mudstone,conglomerate","78,101,101,101,101,100"
Edmund Group  Depositional package 2,"Siltstone and mudstone; sandstone, and dolostone; locally sulfidic",1679.0,1517.0,"mudstone,mudstone,sandstone,dolostone","101,101,101,101"
Edmund Group  Depositional package 3,"Siltstone and mudstone; sandstone, and dolostone, minor conglomerate",1590.0,1465.0,"mudstone,mudstone,sandstone,dolostone,conglomerate","101,101,101,101,101"
Edmund Group  Depositional package 4,"Siltstone and mudstone; sandstone, dolostone, dolomitic mudstone, chert, and minor conglomerate",1590.0,1455.0,"mudstone,mudstone,sandstone,dolostone,mudstone,chert,conglomerate","101,101,101,101,101,000,000"
Eel Creek Formation,"Mudstone, shale, siltstone, and sandstone; locally intruded by dolerite sills and dykes",2930.0,1050.0,"mudstone,mudstone,mudstone,sandstone,dolerite,felsic","101,101,101,101,100,53"
Eley Monzogranite,Porphyritic biotite monzogranite; numerous K-feldspar phenocrysts; weakly foliated; metamorphosed,2945.0,2919.0,"monzogranite,made_ground","101,53"
Elgee Siltstone,"Red-brown and grey siltstone and mudstone, stromatolitic dolostone, sandy dolostone, oolitic dolostone, and sandstone",1835.0,1740.0,"mudstone,mudstone,dolostone,dolostone,dolostone,sandstone","101,101,101,101,101,000"
Eliza Formation,"Rhyolite lava flows, subvolcanic sills, and pyroclastic rocks; locally interlayered with volcanic sandstone and siltstone, and minor basalt",1077.0,1047.0,"rhyolite,felsic,pyroclastic_rock,sandstone,mudstone,basalt","100,65,91,101,101,101"
Elizabeth Hill Supersuite,Leucogranite; medium to coarse grained; abundant pegmatite and local greenstone and granitic gneiss xenoliths,3068.0,3066.0,"orthogneiss, syenogranite, pegmatite, tonalite, greenstone, gneiss","75,101,101,100"
Elsie Creek Tonalite,Metatonalite and metagranodiorite; local sills of monzogranite and orthogneiss xenoilths; strongly foliated to gneissic,3292.0,3277.0,"tonalite,granodiorite,monzogranite,orthogneiss,gneiss","101,101,101,100,86"
Emeriau Sandstone,Fine- to coarse-grained sandstone; minor conglomerate,145.0,2.58,"sandstone,conglomerate","101,101"
Emu Pool Supersuite,Monzogranite and granodiorite; minor trondhjemite; metamorphosed,3324.0,3277.0,"monzogranite,granodiorite,tonalite","101,101,101"
Eneabba Formation,Interbedded red-bed sandstone and siltstone,201.3,174.1,"sandstone,mudstone","101,101"
Eramurra Monzogranite,Seriate biotite monzogranite containing mafic schlieren and veins of pegmatite; metamorphosed,2982.0,2982.0,"monzogranite,pegmatite","100,101"
Errabiddy Formation,Feldspathic sandstone; minor pebble conglomerate lenses,1000.0,541.0,"sandstone,conglomerate","101,100"
Erskine Sandstone,"Fine-grained sandstone; lesser sandy shale, minor conglomerate",250.0,237.0,"sandstone,mudstone,conglomerate","101,101,101"
Esperance Supersuite,Granitic rock; undeformed to moderately deformed,1198.0,1140.0,"granitoid, syenogranite",89
Euro Basalt,"Basalt, komatiitic basalt, serpentinized peridotite; local dolerite and gabbro sills; minor felsic volcaniclastic rocks and chert; metamorphosed",3350.0,3335.0,"basalt,basalt,peridotite,dolerite,gabbro,felsic,chert","101,101,101,101,100,000,000"
Ewington Coal Measures,"Interbedded poorly sorted feldspathic sandstone, carbonaceus shale, coal; conglomerate",290.1,283.5,"sandstone,mudstone,coal,conglomerate","101,101,101,101"
Fairfield Group,"Limestone, shale, siltstone, sandstone",362.0,346.7,"limestone,mudstone,mudstone,sandstone","101,101,101,101"
Famennian reef complexes  marginal slope and basin facies,"Limestone, calcareous sandstone and mudstone; lesser siliciclastic sandstone and conglomerate",372.2,358.9,"limestone,sandstone,mudstone,sandstone,conglomerate","101,101,101,101,101"
Famennian reef complexes  platform facies,"Limestone, lesser sandstone and siltstone, bedded (backreef) to massive (reef); includes Windjana and Nullara Limestones",372.2,358.9,"limestone,sandstone,mudstone,limestone","101,101,101,101"
Farrel Quartzite,Quartz sandstone and quartzite; locally fuchsitic; minor conglomerate and chert; metamorphosed,3066.0,3022.0,"sandstone,quartzite,leucitic_rock,conglomerate,chert","101,101,71,101,101"
Fields Find Igneous Complex,"dolerite, gabbro, ",2799.0,2799.0,"dolerite, gabbro, ",-1
Fig Tree Gneiss,"Banded metatonalite and metagranodiorite gneiss; local metatrondhjemite, metamonzogranite and metasyenogranite gneiss, and migmatite",3448.0,3416.0,"tonalite,gneiss,tonalite,monzogranite,gneiss,migmatite","101,101,101,101,101,000"
Finlayson Member,"arenite, conglomerate, siltstone",2170.0,1600.0,"arenite, conglomerate, siltstone",-1
Fitzgerald Peaks Syenite,Syenite and quartz syenite,2655.0,2655.0,"syenite,syenite","101,101"
Fitzroy Volcanics,Lamproite and associated pyroclastic rock,22.0,18.0,"lamproite,pyroclastic_rock","101,68"
Flat Rocks Tonalite,"Biotite metatonalite, strongly foliated and interleaved with K-feldspar porphyritic monzogranite",3166.0,3164.0,"tonalite,monzogranite","101,101"
Fleece Pool Gabbro,"leucogabbro, gabbro, gabbronorite",2735.0,2735.0,"leucogabbro, gabbro, gabbronorite",-1
Fly Dam Formation,Interbedded psammitic to pelitic gneiss with leucosomes; pelitic garnet- and biotite-rich layers,1617.0,1600.0,"pisolith,gneiss,limestone,garnetite","75,101,60,70"
Forest Belle Gabbro,Coarse-grained gabbro with clinopyroxene oikocrysts; metamorphosed,2704.0,2665.0,"gabbro,norite","101,73"
Forestier Bay Granodiorite,Biotite granodiorite and monzogranite; sparsely porphyritic; metamorphosed,3014.0,3014.0,"granodiorite,monzogranite","101,101"
Fortescue Group,"Basalt, basaltic andesite, and felsic volcanic rocks with locally thick siliciclastic sedimentary rocks; local carbonate rocks, komatiitic basalt and dolerite sills",2775.0,2629.0,"pyroxenite, andesite, basalt, serpentinite, ultramafic_rock, felsic, dolerite, conglomerate, gabbro, mud, carbonate","101,101,100,50,100,101,100"
Fraser Range Metamorphics,"Sheeted and mostly strongly deformed metagabbro, metagranite, and minor metasedimentary rocks; includes hybrid rocks and mafic and felsic granulite",1310.0,1283.0,"gabbro,granite,iron_sediment,unclassified_rock,mafic,granulite","101,101,67,63,101,101"
Fraser Zone unit,"Interlayered metagabbro and metagranite, locally with metasedimentary rocks; may include mafic and felsic granulite",1305.0,1290.0,"granite, granulite, gabbroid, granitoid, iron_sediment, gabbro","101,101,67,101"
Frere Formation,"Peloidal chert, granular iron-formation, granular siliceous iron-formation, siltstone, and sandstone",2027.0,1650.0,"chert,gravel,gravel,mudstone,sandstone","101,75,62,101,101"
Frezier Sandstone,Fine- to coarse-grained sandstone; minor granule conglomerate,145.0,113.0,"sandstone,conglomerate","101,101"
Gap Intrusion,"Serpentinized peridotite, dunite, and pyroxenite",3460.0,3449.0,"peridotite,dacite,pyroxenite","101,80,101"
Garden Creek Monzogranite,Metamorphosed biotite monzogranite; tectonically foliated; leucocratic; minor pegmatitic granitic sheets,3274.0,3224.0,"monzogranite,leucitic_rock,pegmatite","101,74,57"
Garden Rock Monzogranite,"monzogranite, syenogranite",2650.0,2617.0,"migmatite, monzogranite, syenogranite",-1
Gascoyne Province metamorphosed mafic intrusive unit,Massive metadolerite and foliated amphibolite; fine and medium grained,1648.0,1321.0,"dolerite,amphibolite","101,101"
Gidley Granophyre,Gabbro; locally with large pyroxene crystals,2725.0,2725.0,"pyroxenite, gabbro, lamprophyre","101,67"
Giles Suite 1,Layered mafic--ultramafic intrusions; undivided,1078.0,1075.0,"pyroxenite, garnetite, fine_grained_ultramafic_rock, peridotite, gabbro",62
Giles Suite 2,Moderately to strongly foliated amphibolite after fine- to medium-grained gabbro; strongly epidotized and cut by abundant quartz and pegmatite veins; locally mylonitic,1078.0,1074.0,"coarse_grained_plutonic_crystalline_igneous_rock, syenogranite, gabbro, amphibolite, vein","101,101,101,101"
Gillam Monzogranite,"Biotite(--muscovite) monzogranite, weakly feldspar-porphyritic; locally with magnetite phenocrysts; massive to weakly foliated; weakly metamorphosed",2851.0,2831.0,"monzogranite,magnetitite","101,90"
Givetian--Frasnian reef complexes  marginal slope and basinal facies,"Limestone, calcareous sandstone, and mudstone; common breccia and mass flow deposits; lesser siliciclastic sandstone and conglomerate",387.7,372.2,"limestone,sandstone,mudstone,breccia,fluvial_deposit,sandstone,conglomerate","101,101,101,101,60,101,101"
Givetian--Frasnian reef complexes  platform facies,"Limestone with lesser siltstone and sandstone, commonly cyclic; includes Pillara Limestone and Cadjebut Formation (reefal precursor)",387.7,372.2,"limestone,mudstone,sandstone,limestone","101,101,101,101"
Glass Spring Formation,Sandstone; minor conglomerate and siltstone,1229.0,1080.0,"sandstone,conglomerate,mudstone","101,101,101"
Glasse Formation,Aphyric to fine-grained basalt; locally amygdaloidal; metamorphosed,2920.0,2718.0,"massive_sulphide,basalt,basaltoid","62,101,57"
Glen Group,basalt,2735.0,2700.0,basalt,-1
Glenburgh Terrane Proterozoic unit,Amphibolite,2125.0,1965.0,"gabbro, gneiss, amphibolite, schist",101
Glidden Group,"Sandstone, quartz wacke, shale, and siltstone",1797.0,635.0,"sandstone,wacke,mudstone,mudstone","101,101,101,101"
Glyde Formation,"Typically vesicular and amygdaloidal basalt, and minor basaltic andesite; interbedded with fine- to coarse-grained siliciclastic rocks; epidotized",1077.0,1047.0,"basalt,andesite,siliciclastic_sediment,peridotite","101,101,63,70"
Gnanagooragoo Igneous Complex,"ultramafic, serpentinite",2792.0,2792.0,"ultramafic, coarse_grained_plutonic_crystalline_igneous_rock, serpentinite, dolerite, gabbro",-1
Gnows Nest Granodiorite,"granodiorite, tonalite",2951.0,2951.0,"granodiorite, tonalite",-1
Gobbos Granodiorite,"Biotite granodiorite and monzogranite, with minor hornblende; medium grained, seriate to locally porphyritic; weakly metamorphosed",3313.0,3313.0,"granodiorite,monzogranite,hornblendite","101,101,91"
Golden Eagle Orthogneiss,"Layered orthogneiss derived from tonalite, granodiorite, monzogranite, and pegmatite; includes layers and lenses of amphibolite and ultramafic schist",3199.0,3178.0,"granodiorite,monzogranite,pegmatite,amphibolite,schist","101,101,101,101,101"
Golden Grove Member,"rhyodacite, dacite, felsic volcaniclastic",2963.0,2963.0,"rhyodacite, dacite, felsic volcaniclastic",-1
Goodin Inlier granitic unit,"Granitic rock, undivided; metamorphosed",3010.0,2600.0,granitoid,89
Googhenama Formation,Granule to pebble conglomerate interbedded with fine- to coarse-grained sandstone,1000.0,635.0,"gravel,conglomerate,sandstone","93,101,101"
Goonetarra Granodiorite,"monzogranite, syenogranite",2763.0,2749.0,"monzogranite, syenogranite",-1
Goose Hole Group,"Sandstone, siltstone, minor limestone (in part stromatolitic) and mudstone",508.0,485.4,"sandstone,mudstone,limestone,mudstone","101,101,101,101"
Gorge Creek Group,Banded iron-formation and siliciclastic rocks,3066.0,3015.0,"bituminous_coal,siliciclastic_sediment","71,63"
Gossan Hill Formation,"rhyolite, dacitic",2963.0,2947.0,"rhyolite, dacitic",-1
Gossan Valley Member,"rhyolite, felsic volcaniclastic",2959.0,2959.0,"rhyolite, felsic volcaniclastic",-1
Granites-Tanami Orogen granitic unit,Biotite monzogranite,2500.0,1600.0,monzogranite,101
Granites-Tanami Orogen metamorphosed igneous felsic unit,Foliated biotite--muscovite--quartz--plagioclase--K-feldspar orthogneiss with thin leucocratic quartz--feldspar interlayers,2800.0,2500.0,"orthogneiss,vein","101,100"
Granites-Tanami Orogen metamorphosed intrusive mafic unit,Metadolerite; greenschist to amphibolite facies,2500.0,1600.0,"dolerite,greenschist,amphibolite","101,101,100"
Granites-Tanami Orogen metasedimentary siliciclastic unit,"Feldspathic wacke, sandstone, siltstone, and mudstone; minor quartzite, banded chert, basalt, dolerite, gabbro, and felsic porphyry; metamorphosed at very low to low grade",1864.0,1835.0,"wacke,sandstone,mudstone,mudstone,quartzite,chert,basalt,dolerite,gabbro,porphyry","101,101,101,101,101,000,000,000,000,000"
Grant Group,"Sandstone, siltstone, diamictite, conglomerate, and shale; largely glacigene",323.2,290.1,"sandstone,mudstone,diamictite,conglomerate,mudstone,glacial_deposit","101,101,101,101,101,58"
Grass Flat Gabbro,"Gabbro; minor leucogabbro, quartz gabbro and pegmatoidal components; metamorphosed",2796.0,2796.0,"gabbro,dolerite,gabbro,clinopyroxene_gabbro","101,73,101,49"
Greenbushes Pegmatite,"Zoned pegmatite; tantalite-, spodumene-, and cassiterite-bearing",2527.0,2527.0,"pegmatite,tonalite,syenite","101,82,62"
Greensleeves Formation,rhyolite,2760.0,2735.0,"rhyolite, andesitoid, ultramafic_rock, rhyolitoid, volcaniclastic_mud",-1
Gregory Range Suite,Metamorphosed granitic rocks; moderate to strong tectonic foliation,2763.0,2757.0,"andesite, granitoid, gneiss, lamprophyre",89
Gwynne Creek Gneiss,"Psammitic gneiss with minor semipelitic layers; includes minor metagranitic rocks, metamafic, and meta-ultramafic rocks",1483.0,1297.0,"gneiss,mudstone,granitoid,mafic,fine_crystalline_sedimentary","101,86,89,101,101"
Halfway Gneiss,"Interlayered leucocratic and mesocratic granitic gneiss, pale-grey granitic gneiss and foliated metagranite, and gneissic to foliated porphyritic metagranodiorite",2555.0,2429.0,"leucitic_rock,gneiss,gneiss,granite,gneiss,granodiorite","74,101,101,101,86,101"
Halls Creek Group,Pelite and psammite with basaltic and andesitic to trachytic metavolcanic and metavolcaniclastic rock,1909.0,1808.0,"mudstone,sandstone,basalt,andesitoid,trachytic_rock,volcaniclastic_mud","101,86,86,84,69,74"
Hanns Jasper Formation,Dacitic volcaniclastic sandstone; crystal and lithic rich; metamorphosed,2774.0,2774.0,"sandstone,lithic_arenite","101,64"
Hardey Formation,Sedimentary and felsic volcanic rocks; local intrusive rocks,2766.0,2749.0,"sediment,felsic,coarse_grained_plutonic_crystalline_igneous_rock","84,100,100"
Hart Dolerite,"Dark-grey dolerite and gabbro, and pink to pale-grey, medium- to coarse-grained granophyre",1799.0,1791.0,"dolerite,gabbro,lamprophyre","101,101,67"
Hatfield Formation,Metasedimentary clastic rocks; minor dacitic volcanic and volcaniclastic rocks,3131.0,2958.0,"clastic_sediment,andesite,volcaniclastic_mud","73,76,74"
Hearson Cove Monzogranite,Monzogranite and syenogranite containing microcline megacrysts; metamorphosed,2999.0,2999.0,"monzogranite,syenogranite","101,100"
Heavitree Formation and Bitter Springs Group,"Quartz sandstone, sandstone and conglomerate, dolomite, stromatolitic dolomite and siltstone",1000.0,720.0,"sandstone,sandstone,conglomerate,dolostone,dolostone,mudstone","101,101,101,101,101,000"
Helicopter Siltstone,"Green and grey micaceous siltstone, fine- to medium-grained quartz sandstone, and mudstone",1000.0,720.0,"metasomatic_rock,mudstone,sandstone,mudstone","83,101,101,101"
Hercules Gneiss,Metadiorite and quartz metamonzodiorite gneiss; locally intruded by Paleoproterozoic granite and mafic rocks,2795.0,1783.0,"diorite,gneiss,granite,mafic","101,101,101,100"
Hickey Ricken Granite,"Granite, undivided",2654.0,2600.0,granite,101
Hidden Basin beds,"Quartz sandstone, sublithic sandstone, shale and siltstone",1630.0,810.0,"sandstone,sandstone,mudstone,mudstone","101,101,101,101"
High Cliff Sandstone,"Fine-grained quartz sandstone, subordinate interbeds of coarse-grained sandstone, conglomerate, and shale",290.1,283.5,"sandstone,sandstone,conglomerate,mudstone","101,101,101,101"
Holmwood Shale,"Grey shale, well-bedded clayey siltstone, interbedded limestone",292.0,290.1,"mudstone,mudstone,limestone","101,101,101"
Homeward Bound Granite,Alkali-feldspar granite; medium to coarse grained; includes local diorite and granodiorite; massive to weakly foliated; weakly metamorphosed,3466.0,3466.0,"granite,diorite,granodiorite","101,101,101"
Honeyeater Basalt,Massive and pillowed basalt and komatiitic basalt; locally vesicular; metamorphosed,3228.0,3176.0,"basalt,basalt","101,101"
Honman Formation,Chert and banded iron-formation; metamorphosed,2920.0,2718.0,"chert, conglomerate, bituminous_coal","101,71"
Hope Campbell Orthogneiss,Migmatitic quartz--biotite orthogneiss,2769.0,2765.0,orthogneiss,101
Horseshoe Formation,"Ferruginous, chloritic shale, and quartz--feldspar wacke; partly manganiferous and calcareous; includes iron formation and chert",2014.0,1920.0,"ferruginous_deposits,mudstone,wacke,manganiferous_deposits,travertine,till,chert","81,101,101,71,74,67,101"
Hydrothermal unit,Quartz vein breccia with goethite--hematite infill; age uncertain,1171.0,0.0,"iron_sediment, breccia, vein","101,59"
Illaara Formation,Quartzite and quartz-rich metasedimentary rock; locally fuchsitic; includes subordinate quartz--muscovite schist and ferruginous intercalations,3131.0,2700.0,"quartzite,iron_sediment,leucitic_rock,schist,ferruginous_deposits","101,67,71,101,81"
Illgalara Monzogranite,granite,2665.0,2640.0,"monzogranite, granite, granitoid",-1
Ilma Formation,"Oolitic dolomite, stromatolitic and sandy; minor limestone, chert, and sandstone, shaly with evaporite pseudomorphs in subsurface",1000.0,720.0,"dolostone,migmatite,sand,limestone,chert,sandstone,mudstone,evaporite","101,78,89,101,101,101,80,100"
Imbin Inlier felsic volcanic unit,Porphyritic rhyodacite,1990.0,1990.0,rhyolite,101
Ininti Granite,"Foliated, porphyritic granitic gneiss; may include syenogranitic gneiss with metasedimentary xenoliths",1695.0,1683.0,"gneiss,gneiss,sedimentary_rock","101,101,67"
Irwin River Coal Measures,"Interbedded very coarse to fine grained sandstone, claystone, siltstone, shale (commonly carbonaceous), and coal",290.1,283.5,"sandstone,mudstone,mudstone,mudstone,coal","101,101,101,101,101"
Isdell Formation,"Thinly bedded dolomitic limestone, calcareous siltstone, and minor shale; locally sulfidic",1000.0,858.0,"limestone,mudstone,mudstone","101,101,101"
Jallagnoonina Granodiorite,Hornblende--biotite granodiorite; medium- to coarse-grained; metamorphosed,2954.0,2945.0,granodiorite,101
Jarlemai Siltstone,"Mudstone, siltstone; minor sandstone locally",157.3,145.0,"mudstone,mudstone,sandstone","101,101,101"
Jean Well Granodiorite,Granodiorite and lesser monzogranite; foliated and weakly compositionally banded; locally sparsely porphyritic; metamorphosed,2990.0,2985.0,"granodiorite,monzogranite","101,101"
Jeerinah Formation,"Siliciclastic sedimentary rocks, local volcanic rocks, and dolerite sills",2713.0,2629.0,"chert, felsic, dolerite, mafic, conglomerate, carbonate","56,57,100"
Jenkin Granodiorite,Biotite granodiorite; medium to coarse grained; foliated; metamorphosed,3313.0,3307.0,granodiorite,101
Jilyili Formation,"Sandstone and siltstone; minor shale, mudstone, and conglomerate",1229.0,1080.0,"sandstone,mudstone,mudstone,mudstone,conglomerate","101,101,101,101,101"
Jimberlana Norite,"Mafic to ultramafic intrusive rocks, undifferentiated; locally abundant carbonate",2420.0,2400.0,"mafic,coarse_grained_plutonic_crystalline_igneous_rock,carbonate","101,100,101"
Johansen Monzogranite,Biotite monzogranite; medium to coarse grained; locally foliated; metamorphosed,3315.0,3303.0,monzogranite,101
Johnson Cairn Formation,"Shale and siltstone; minor quartz arenite, feldspathic sandstone, and thin-bedded dolomite and marl",2170.0,1600.0,"mudstone,mudstone,arenite,sandstone,dolostone,marl","101,101,101,101,101,000"
Jones Creek Conglomerate,Conglomerate and sandstone; metamorphosed,2665.0,2640.0,"conglomerate,sandstone","101,101"
