,Unnamed: 0,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,Level_3,Level_2,Level_1,xbt,ybt,zbt,xmt,ymt,zmt,xet,yet,zet,Unnamed: 20
688,740,3050,931212,0.0,1.0,Cc,colluvium,colluvium,101,colluvium,natural_superficial_ground,surficial,514356.7076401982,6745604.374344237,340.915,514356.9503206728,6745604.377732916,340.4778604020048,514357.18710080674,6745604.381039205,340.03749648987707,
689,741,3050,931212,114.0,123.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.13798814936,6745604.757369031,231.4439540574921,514384.1379881504,6745604.75736903,226.9439540574921,514384.13798815134,6745604.75736903,222.4439540574921,
690,742,3050,931212,123.0,124.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.13798815134,6745604.75736903,222.4439540574921,514384.1379881514,6745604.75736903,221.9439540574921,514384.13798815146,6745604.75736903,221.4439540574921,
691,743,3050,931212,124.0,127.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.13798815146,6745604.75736903,221.4439540574921,514384.1379881518,6745604.75736903,219.9439540574921,514384.1379881522,6745604.75736903,218.4439540574921,
692,744,3050,931212,127.0,129.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881522,6745604.75736903,218.4439540574921,514384.1379881525,6745604.75736903,217.4439540574921,514384.13798815256,6745604.75736903,216.4439540574921,
693,745,3050,931212,129.0,138.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.13798815256,6745604.75736903,216.4439540574921,514384.1379881535,6745604.75736903,211.9439540574921,514384.1379881544,6745604.75736903,207.4439540574921,
694,746,3050,931212,138.0,139.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881544,6745604.75736903,207.4439540574921,514384.1379881546,6745604.75736903,206.9439540574921,514384.1379881546,6745604.75736903,206.4439540574921,
695,747,3050,931212,139.0,153.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881546,6745604.75736903,206.4439540574921,514384.1379881561,6745604.75736903,199.4439540574921,514384.1379881575,6745604.75736903,192.4439540574921,
696,748,3050,931212,153.0,154.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881575,6745604.75736903,192.4439540574921,514384.1379881576,6745604.75736903,191.9439540574921,514384.1379881578,6745604.75736903,191.4439540574921,
697,759,3050,931212,204.0,205.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881678,6745604.757369028,141.44395405749208,514384.1379881679,6745604.757369028,140.94395405749208,514384.137988168,6745604.757369028,140.44395405749208,
698,760,3050,931212,205.0,210.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.137988168,6745604.757369028,140.44395405749208,514384.1379881685,6745604.757369028,137.94395405749208,514384.137988169,6745604.757369028,135.44395405749208,
699,761,3050,931212,210.0,214.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.137988169,6745604.757369028,135.44395405749208,514384.1379881694,6745604.757369028,133.44395405749208,514384.1379881698,6745604.757369028,131.44395405749208,
700,762,3050,931212,214.0,216.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881698,6745604.757369028,131.44395405749208,514384.13798817,6745604.757369028,130.44395405749208,514384.1379881703,6745604.757369028,129.44395405749208,
701,763,3050,931212,216.0,218.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514384.1379881703,6745604.757369028,129.44395405749208,514384.1379881704,6745604.757369028,128.44395405749208,514384.1379881706,6745604.757369028,127.44395405749208,
