,Unnamed: 0,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,Level_3,Level_2,Level_1,xbt,ybt,zbt,xmt,ymt,zmt,xet,yet,zet,Unnamed: 20
1675,1759,1621,1233145,0.0,2.0,Cc,colluvium,colluvium,101,colluvium,natural_superficial_ground,surficial,479094.3582236857,6772606.509957169,370.174,479094.3582236857,6772606.544667183,369.1746031983838,479094.3582236857,6772606.575248348,368.1750717157982,
1676,1760,1621,1233145,2.0,21.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.575248348,368.1750717157982,479094.3582236857,6772606.71009091,358.67634780187905,479094.3582236857,6772606.710090913,349.17634780187905,
1677,1761,1621,1233145,21.0,22.0,S,massive sulphides,massive_sulphide,91,massive_sulphide,ore,mineralisation,479094.3582236857,6772606.710090913,349.17634780187905,479094.3582236857,6772606.710090913,348.67634780187905,479094.3582236857,6772606.710090913,348.17634780187905,
1678,1762,1621,1233145,22.0,24.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090913,348.17634780187905,479094.3582236857,6772606.710090913,347.17634780187905,479094.3582236857,6772606.710090913,346.17634780187905,
1679,1763,1621,1233145,24.0,26.0,Sct,chert,chert,101,chert,siliceous,sedimentary rock,479094.3582236857,6772606.710090913,346.17634780187905,479094.3582236857,6772606.710090913,345.17634780187905,479094.3582236857,6772606.710090913,344.17634780187905,
1680,1764,1621,1233145,26.0,33.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090913,344.17634780187905,479094.3582236857,6772606.710090913,340.67634780187905,479094.3582236857,6772606.710090914,337.17634780187905,
1681,1765,1621,1233145,33.0,34.0,Sct,chert,chert,101,chert,siliceous,sedimentary rock,479094.3582236857,6772606.710090914,337.17634780187905,479094.3582236857,6772606.710090914,336.67634780187905,479094.3582236857,6772606.710090914,336.17634780187905,
1682,1766,1621,1233145,34.0,35.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090914,336.17634780187905,479094.3582236857,6772606.710090914,335.67634780187905,479094.3582236857,6772606.710090914,335.17634780187905,
1683,1767,1621,1233145,35.0,38.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090914,335.17634780187905,479094.3582236857,6772606.710090914,333.67634780187905,479094.3582236857,6772606.710090915,332.17634780187905,
1684,1768,1621,1233145,38.0,41.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090915,332.17634780187905,479094.3582236857,6772606.710090915,330.67634780187905,479094.3582236857,6772606.710090917,329.17634780187905,
1685,1769,1621,1233145,41.0,42.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090917,329.17634780187905,479094.3582236857,6772606.710090917,328.67634780187905,479094.3582236857,6772606.710090917,328.17634780187905,
1686,1770,1621,1233145,42.0,49.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090917,328.17634780187905,479094.3582236857,6772606.710090918,324.67634780187905,479094.3582236857,6772606.710090918,321.17634780187905,
1687,1771,1621,1233145,49.0,50.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,479094.3582236857,6772606.710090918,321.17634780187905,479094.3582236857,6772606.710090918,320.67634780187905,479094.3582236857,6772606.710090918,320.17634780187905,
1688,1772,1621,1233145,50.0,51.0,Sct,chert,chert,101,chert,siliceous,sedimentary rock,479094.3582236857,6772606.710090918,320.17634780187905,479094.3582236857,6772606.710090918,319.67634780187905,479094.3582236857,6772606.710090918,319.17634780187905,
1689,1773,1621,1233145,51.0,52.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090918,319.17634780187905,479094.3582236857,6772606.710090918,318.67634780187905,479094.3582236857,6772606.710090918,318.17634780187905,
1690,1774,1621,1233145,52.0,54.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090918,318.17634780187905,479094.3582236857,6772606.710090918,317.17634780187905,479094.3582236857,6772606.710090918,316.17634780187905,
1691,1775,1621,1233145,54.0,68.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090918,316.17634780187905,479094.3582236857,6772606.710090914,309.17634780187905,479094.3582236857,6772606.710090911,302.17634780187905,
1692,1776,1621,1233145,68.0,78.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090911,302.17634780187905,479094.3582236857,6772606.710090909,297.17634780187905,479094.3582236857,6772606.710090907,292.17634780187905,
1693,1777,1621,1233145,78.0,97.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090907,292.17634780187905,479094.3582236857,6772606.710090904,282.67634780187905,479094.3582236857,6772606.710090901,273.17634780187905,
1694,1778,1621,1233145,97.0,100.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090901,273.17634780187905,479094.3582236857,6772606.710090899,271.67634780187905,479094.3582236857,6772606.710090899,270.17634780187905,
1695,1779,1621,1233145,100.0,126.0,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,479094.3582236857,6772606.710090899,270.17634780187905,479094.3582236857,6772606.710090892,257.17634780187905,479094.3582236857,6772606.710090889,244.17634780187905,
