,Unnamed: 0,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,Level_3,Level_2,Level_1,xbt,ybt,zbt,xmt,ymt,zmt,xet,yet,zet,Unnamed: 20
216,268,3050,548924,3.0,4.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514842.1075609647,6744794.898456758,344.88757433328794,514842.336239817,6744794.89526359,344.4429456141291,514842.5616762877,6744794.892115699,343.99666389965944,
217,269,3050,548924,4.0,7.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514842.5616762877,6744794.892115699,343.99666389965944,514843.2178158474,6744794.882953667,342.64784939346987,514843.84243294655,6744794.8742318,341.28415181941034,
218,270,3050,548924,7.0,9.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514843.84243294655,6744794.8742318,341.28415181941034,514844.2403904044,6744794.868674905,340.36677731302615,514844.6227416428,6744794.863335928,339.4427891571048,
219,271,3050,548924,9.0,12.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514844.6227416428,6744794.863335928,339.4427891571048,514845.1651332039,6744794.85576222,338.0443568150424,514845.66742853966,6744794.848748397,336.63103244597494,
220,272,3050,548924,12.0,13.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514845.66742853966,6744794.848748397,336.63103244597494,514845.825393043,6744794.846542654,336.1566485616537,514845.9783036855,6744794.84440748,335.6806114386088,
221,273,3050,548924,13.0,16.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514845.9783036855,6744794.84440748,335.6806114386088,514846.4042476605,6744794.8384597935,334.242450218219,514846.7760218237,6744794.83326851,332.78936492202183,
222,274,3050,548924,16.0,20.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514846.7760218237,6744794.83326851,332.78936492202183,514847.16668038,6744794.827813532,330.82828639698926,514847.32911006064,6744794.82554544,328.83710982952823,
223,275,3050,548924,20.0,24.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.32911006064,6744794.82554544,328.83710982952823,514847.329110061,6744794.82554544,326.83710982952823,514847.3291100615,6744794.82554544,324.83710982952823,
224,276,3050,548924,25.0,28.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100617,6744794.82554544,323.83710982952823,514847.3291100621,6744794.82554544,322.33710982952823,514847.3291100623,6744794.82554544,320.83710982952823,
225,277,3050,548924,28.0,33.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100623,6744794.82554544,320.83710982952823,514847.3291100628,6744794.82554544,318.33710982952823,514847.32911006326,6744794.82554544,315.83710982952823,
226,278,3050,548924,33.0,35.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.32911006326,6744794.82554544,315.83710982952823,514847.3291100636,6744794.82554544,314.83710982952823,514847.32911006367,6744794.82554544,313.83710982952823,
227,279,3050,548924,35.0,37.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.32911006367,6744794.82554544,313.83710982952823,514847.329110064,6744794.82554544,312.83710982952823,514847.3291100642,6744794.82554544,311.83710982952823,
228,280,3050,548924,37.0,40.0,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100642,6744794.82554544,311.83710982952823,514847.3291100644,6744794.82554544,310.33710982952823,514847.3291100648,6744794.82554544,308.83710982952823,
229,281,3050,548924,40.3,65.3,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100648,6744794.82554544,308.5371098295282,514847.3291100674,6744794.82554544,296.0371098295282,514847.32911007,6744794.82554544,283.5371098295282,
230,282,3050,548924,65.3,66.5,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,514847.32911007,6744794.82554544,283.5371098295282,514847.3291100701,6744794.82554544,282.9371098295282,514847.3291100703,6744794.82554544,282.33710982952823,
231,283,3050,548924,66.5,81.6,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100703,6744794.82554544,282.33710982952823,514847.3291100718,6744794.82554544,274.7871098295282,514847.3291100733,6744794.82554544,267.2371098295282,
232,284,3050,548924,81.6,175.62,Sif,iron-formation,banded_iron_formation,90,banded_iron_formation,ore,mineralisation,514847.3291100733,6744794.82554544,267.2371098295282,514847.3291100829,6744794.82554544,220.2271098295282,514847.3291100925,6744794.825545439,173.2171098295282,
233,285,3050,548924,175.62,178.75,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,514847.3291100925,6744794.825545439,173.2171098295282,514847.3291100929,6744794.825545439,171.65210982952817,514847.3291100932,6744794.825545439,170.08710982952817,
234,286,3050,548924,178.75,198.4,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,514847.3291100932,6744794.825545439,170.08710982952817,514847.3291100922,6744794.825545439,160.2621098295282,514847.3291100881,6744794.825545439,150.43710982952817,
