,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
17063,592,2182024,178.0,180.0,Stratigraphy,Mt Newman,34512832
17067,592,2182024,176.0,178.0,Stratigraphy,Mt Newman,34512831
17071,592,2182024,174.0,176.0,Stratigraphy,Mt Newman,34512830
17075,592,2182024,172.0,174.0,Stratigraphy,Mt Newman,34512829
17079,592,2182024,170.0,172.0,Stratigraphy,Mt Newman,34512828
17083,592,2182024,168.0,170.0,Stratigraphy,Mt Newman,34512827
17087,592,2182024,166.0,168.0,Stratigraphy,Mt Newman,34512826
17091,592,2182024,164.0,166.0,Stratigraphy,Mt Newman,34512825
17095,592,2182024,162.0,164.0,Stratigraphy,LWA,34512824
17099,592,2182024,160.0,162.0,Stratigraphy,LWA,34512823
17103,592,2182024,158.0,160.0,Stratigraphy,LWA,34512822
17107,592,2182024,156.0,158.0,Stratigraphy,LWA,34512821
17111,592,2182024,154.0,156.0,Stratigraphy,LWA,34512820
17115,592,2182024,152.0,154.0,Stratigraphy,LWA,34512819
17119,592,2182024,150.0,152.0,Stratigraphy,LWA,34512818
17123,592,2182024,148.0,150.0,Stratigraphy,LWA,34512817
17127,592,2182024,146.0,148.0,Stratigraphy,LWA,34512816
30726,592,2182024,180.0,182.0,Stratigraphy,Mt Newman,34512833
30762,592,2182024,144.0,146.0,Stratigraphy,LWA,34512815
32359,592,2182024,0.0,2.0,Stratigraphy,TransCover,34512743
32362,592,2182024,2.0,4.0,Stratigraphy,TransCover,34512744
32364,592,2182024,4.0,6.0,Stratigraphy,TransCover,34512745
32366,592,2182024,6.0,8.0,Stratigraphy,TransCover,34512746
32367,592,2182024,8.0,10.0,Stratigraphy,TransCover,34512747
32370,592,2182024,10.0,12.0,Stratigraphy,TransCover,34512748
32371,592,2182024,12.0,14.0,Stratigraphy,TransCover,34512749
32373,592,2182024,14.0,16.0,Stratigraphy,TransCover,34512750
32374,592,2182024,16.0,18.0,Stratigraphy,TransCover,34512751
32379,592,2182024,18.0,20.0,Stratigraphy,TransCover,34512752
32381,592,2182024,20.0,22.0,Stratigraphy,TransCover,34512753
32383,592,2182024,22.0,24.0,Stratigraphy,TransCover,34512754
32384,592,2182024,24.0,26.0,Stratigraphy,TransCover,34512755
32387,592,2182024,26.0,28.0,Stratigraphy,TransCover,34512756
32388,592,2182024,28.0,30.0,Stratigraphy,TransCover,34512757
32390,592,2182024,30.0,32.0,Stratigraphy,TransCover,34512758
32391,592,2182024,32.0,34.0,Stratigraphy,TransCover,34512759
32395,592,2182024,34.0,36.0,Stratigraphy,TransCover,34512760
32396,592,2182024,36.0,38.0,Stratigraphy,TransCover,34512761
32398,592,2182024,38.0,40.0,Stratigraphy,TransCover,34512762
32399,592,2182024,40.0,42.0,Stratigraphy,TransCover,34512763
32402,592,2182024,42.0,44.0,Stratigraphy,TransCover,34512764
32403,592,2182024,44.0,46.0,Stratigraphy,TransCover,34512765
32405,592,2182024,46.0,48.0,Stratigraphy,TransCover,34512766
32406,592,2182024,48.0,50.0,Stratigraphy,TransCover,34512767
32411,592,2182024,50.0,52.0,Stratigraphy,TransCover,34512768
32412,592,2182024,52.0,54.0,Stratigraphy,TransCover,34512769
32414,592,2182024,54.0,56.0,Stratigraphy,TransCover,34512770
32415,592,2182024,56.0,58.0,Stratigraphy,TransCover,34512771
32418,592,2182024,58.0,60.0,Stratigraphy,TransCover,34512772
32419,592,2182024,60.0,62.0,Stratigraphy,TransCover,34512773
32421,592,2182024,62.0,64.0,Stratigraphy,TransCover,34512774
32422,592,2182024,64.0,66.0,Stratigraphy,TransCover,34512775
32426,592,2182024,66.0,68.0,Stratigraphy,TransCover,34512776
32427,592,2182024,68.0,70.0,Stratigraphy,TransCover,34512777
32429,592,2182024,70.0,72.0,Stratigraphy,TransCover,34512778
32430,592,2182024,72.0,74.0,Stratigraphy,TransCover,34512779
32433,592,2182024,74.0,76.0,Stratigraphy,TransCover,34512780
32434,592,2182024,76.0,78.0,Stratigraphy,TransCover,34512781
32436,592,2182024,78.0,80.0,Stratigraphy,TransCover,34512782
32437,592,2182024,80.0,82.0,Stratigraphy,TransCover,34512783
32445,592,2182024,82.0,84.0,Stratigraphy,TransCover,34512784
32446,592,2182024,84.0,86.0,Stratigraphy,TransCover,34512785
32448,592,2182024,86.0,88.0,Stratigraphy,TransCover,34512786
32449,592,2182024,88.0,90.0,Stratigraphy,TransCover,34512787
32452,592,2182024,90.0,92.0,Stratigraphy,TransCover,34512788
32453,592,2182024,92.0,94.0,Stratigraphy,TransCover,34512789
32455,592,2182024,94.0,96.0,Stratigraphy,TransCover,34512790
32456,592,2182024,96.0,98.0,Stratigraphy,TransCover,34512791
32460,592,2182024,98.0,100.0,Stratigraphy,TransCover,34512792
32461,592,2182024,100.0,102.0,Stratigraphy,TransCover,34512793
32463,592,2182024,102.0,104.0,Stratigraphy,TransCover,34512794
32464,592,2182024,104.0,106.0,Stratigraphy,TransCover,34512795
32467,592,2182024,106.0,108.0,Stratigraphy,TransCover,34512796
32468,592,2182024,108.0,110.0,Stratigraphy,TransCover,34512797
32470,592,2182024,110.0,112.0,Stratigraphy,TransCover,34512798
32471,592,2182024,112.0,114.0,Stratigraphy,TransCover,34512799
32476,592,2182024,114.0,116.0,Stratigraphy,TransCover,34512800
32477,592,2182024,116.0,118.0,Stratigraphy,TransCover,34512801
32479,592,2182024,118.0,120.0,Stratigraphy,LWA,34512802
32480,592,2182024,120.0,122.0,Stratigraphy,LWA,34512803
32483,592,2182024,122.0,124.0,Stratigraphy,LWA,34512804
32484,592,2182024,124.0,126.0,Stratigraphy,LWA,34512805
32486,592,2182024,126.0,128.0,Stratigraphy,LWA,34512806
32487,592,2182024,128.0,130.0,Stratigraphy,LWA,34512807
32491,592,2182024,130.0,132.0,Stratigraphy,LWA,34512808
32492,592,2182024,132.0,134.0,Stratigraphy,LWA,34512809
32494,592,2182024,134.0,136.0,Stratigraphy,LWA,34512810
32495,592,2182024,136.0,138.0,Stratigraphy,LWA,34512811
32498,592,2182024,138.0,140.0,Stratigraphy,LWA,34512812
32499,592,2182024,140.0,142.0,Stratigraphy,LWA,34512813
32501,592,2182024,142.0,144.0,Stratigraphy,LWA,34512814
32542,592,2182024,182.0,184.0,Stratigraphy,Mt Newman,34512834
32543,592,2182024,184.0,186.0,Stratigraphy,Mt Newman,34512835
46960,592,2182024,178.0,180.0,Stratigraphy,Mt Newman,34512832
46964,592,2182024,176.0,178.0,Stratigraphy,Mt Newman,34512831
46968,592,2182024,174.0,176.0,Stratigraphy,Mt Newman,34512830
46972,592,2182024,172.0,174.0,Stratigraphy,Mt Newman,34512829
46976,592,2182024,170.0,172.0,Stratigraphy,Mt Newman,34512828
46980,592,2182024,168.0,170.0,Stratigraphy,Mt Newman,34512827
46984,592,2182024,166.0,168.0,Stratigraphy,Mt Newman,34512826
46988,592,2182024,164.0,166.0,Stratigraphy,Mt Newman,34512825
46992,592,2182024,162.0,164.0,Stratigraphy,LWA,34512824
46996,592,2182024,160.0,162.0,Stratigraphy,LWA,34512823
47000,592,2182024,158.0,160.0,Stratigraphy,LWA,34512822
47004,592,2182024,156.0,158.0,Stratigraphy,LWA,34512821
47008,592,2182024,154.0,156.0,Stratigraphy,LWA,34512820
47012,592,2182024,152.0,154.0,Stratigraphy,LWA,34512819
47016,592,2182024,150.0,152.0,Stratigraphy,LWA,34512818
47020,592,2182024,148.0,150.0,Stratigraphy,LWA,34512817
47024,592,2182024,146.0,148.0,Stratigraphy,LWA,34512816
60623,592,2182024,180.0,182.0,Stratigraphy,Mt Newman,34512833
60659,592,2182024,144.0,146.0,Stratigraphy,LWA,34512815
62256,592,2182024,0.0,2.0,Stratigraphy,TransCover,34512743
62259,592,2182024,2.0,4.0,Stratigraphy,TransCover,34512744
62261,592,2182024,4.0,6.0,Stratigraphy,TransCover,34512745
62263,592,2182024,6.0,8.0,Stratigraphy,TransCover,34512746
62264,592,2182024,8.0,10.0,Stratigraphy,TransCover,34512747
62267,592,2182024,10.0,12.0,Stratigraphy,TransCover,34512748
62268,592,2182024,12.0,14.0,Stratigraphy,TransCover,34512749
62270,592,2182024,14.0,16.0,Stratigraphy,TransCover,34512750
62271,592,2182024,16.0,18.0,Stratigraphy,TransCover,34512751
62276,592,2182024,18.0,20.0,Stratigraphy,TransCover,34512752
62278,592,2182024,20.0,22.0,Stratigraphy,TransCover,34512753
62280,592,2182024,22.0,24.0,Stratigraphy,TransCover,34512754
62281,592,2182024,24.0,26.0,Stratigraphy,TransCover,34512755
62284,592,2182024,26.0,28.0,Stratigraphy,TransCover,34512756
62285,592,2182024,28.0,30.0,Stratigraphy,TransCover,34512757
62287,592,2182024,30.0,32.0,Stratigraphy,TransCover,34512758
62288,592,2182024,32.0,34.0,Stratigraphy,TransCover,34512759
