,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
21726,592,2182215,112.0,114.0,Stratigraphy,Mt Newman,34528025
21727,592,2182215,110.0,112.0,Stratigraphy,Mt Newman,34528024
21730,592,2182215,108.0,110.0,Stratigraphy,Mt Newman,34528023
21731,592,2182215,106.0,108.0,Stratigraphy,Mt Newman,34528022
21735,592,2182215,104.0,106.0,Stratigraphy,Mt Newman,34528021
21738,592,2182215,100.0,102.0,Stratigraphy,Mt Newman,34528019
21739,592,2182215,98.0,100.0,Stratigraphy,Mt Newman,34528018
21742,592,2182215,96.0,98.0,Stratigraphy,Mt Newman,34528017
21743,592,2182215,94.0,96.0,Stratigraphy,Mt Newman,34528016
21746,592,2182215,92.0,94.0,Stratigraphy,Mt Newman,34528015
21747,592,2182215,90.0,92.0,Stratigraphy,Mt Newman,34528014
21750,592,2182215,88.0,90.0,Stratigraphy,Mt Newman,34528013
21751,592,2182215,86.0,88.0,Stratigraphy,Mt Newman,34528012
21754,592,2182215,84.0,86.0,Stratigraphy,Mt Newman,34528011
21755,592,2182215,82.0,84.0,Stratigraphy,Mt Newman,34528010
21758,592,2182215,80.0,82.0,Stratigraphy,Mt Newman,34528009
21759,592,2182215,78.0,80.0,Stratigraphy,Mt Newman,34528008
21762,592,2182215,76.0,78.0,Stratigraphy,Mt Newman,34528007
21763,592,2182215,74.0,76.0,Stratigraphy,Mt Newman,34528006
21767,592,2182215,72.0,74.0,Stratigraphy,Mt Newman,34528005
21770,592,2182215,68.0,70.0,Stratigraphy,Mt Newman,34528003
21771,592,2182215,66.0,68.0,Stratigraphy,Mt Newman,34528002
21774,592,2182215,64.0,66.0,Stratigraphy,Mt Newman,34528001
21775,592,2182215,62.0,64.0,Stratigraphy,TransCover,34528000
21778,592,2182215,60.0,62.0,Stratigraphy,TransCover,34527999
21779,592,2182215,58.0,60.0,Stratigraphy,TransCover,34527998
21782,592,2182215,56.0,58.0,Stratigraphy,TransCover,34527997
21783,592,2182215,54.0,56.0,Stratigraphy,TransCover,34527996
21786,592,2182215,52.0,54.0,Stratigraphy,TransCover,34527995
21787,592,2182215,50.0,52.0,Stratigraphy,TransCover,34527994
21790,592,2182215,48.0,50.0,Stratigraphy,TransCover,34527993
21791,592,2182215,46.0,48.0,Stratigraphy,TransCover,34527992
21794,592,2182215,44.0,46.0,Stratigraphy,TransCover,34527991
21795,592,2182215,42.0,44.0,Stratigraphy,TransCover,34527990
21799,592,2182215,40.0,42.0,Stratigraphy,TransCover,34527989
21802,592,2182215,36.0,38.0,Stratigraphy,TransCover,34527987
25720,592,2182215,0.0,2.0,Stratigraphy,TransCover,34527969
25721,592,2182215,2.0,4.0,Stratigraphy,TransCover,34527970
25722,592,2182215,4.0,6.0,Stratigraphy,TransCover,34527971
25725,592,2182215,6.0,8.0,Stratigraphy,TransCover,34527972
25726,592,2182215,8.0,10.0,Stratigraphy,TransCover,34527973
25727,592,2182215,10.0,12.0,Stratigraphy,TransCover,34527974
25728,592,2182215,12.0,14.0,Stratigraphy,TransCover,34527975
25730,592,2182215,14.0,16.0,Stratigraphy,TransCover,34527976
25731,592,2182215,16.0,18.0,Stratigraphy,TransCover,34527977
25732,592,2182215,18.0,20.0,Stratigraphy,TransCover,34527978
25733,592,2182215,20.0,22.0,Stratigraphy,TransCover,34527979
25736,592,2182215,22.0,24.0,Stratigraphy,TransCover,34527980
25737,592,2182215,24.0,26.0,Stratigraphy,TransCover,34527981
25738,592,2182215,26.0,28.0,Stratigraphy,TransCover,34527982
25739,592,2182215,28.0,30.0,Stratigraphy,TransCover,34527983
25741,592,2182215,30.0,32.0,Stratigraphy,TransCover,34527984
25742,592,2182215,32.0,34.0,Stratigraphy,TransCover,34527985
25744,592,2182215,34.0,36.0,Stratigraphy,TransCover,34527986
25751,592,2182215,38.0,40.0,Stratigraphy,TransCover,34527988
25782,592,2182215,70.0,72.0,Stratigraphy,Mt Newman,34528004
25815,592,2182215,102.0,104.0,Stratigraphy,Mt Newman,34528020
51623,592,2182215,112.0,114.0,Stratigraphy,Mt Newman,34528025
51624,592,2182215,110.0,112.0,Stratigraphy,Mt Newman,34528024
51627,592,2182215,108.0,110.0,Stratigraphy,Mt Newman,34528023
51628,592,2182215,106.0,108.0,Stratigraphy,Mt Newman,34528022
51632,592,2182215,104.0,106.0,Stratigraphy,Mt Newman,34528021
51635,592,2182215,100.0,102.0,Stratigraphy,Mt Newman,34528019
51636,592,2182215,98.0,100.0,Stratigraphy,Mt Newman,34528018
51639,592,2182215,96.0,98.0,Stratigraphy,Mt Newman,34528017
51640,592,2182215,94.0,96.0,Stratigraphy,Mt Newman,34528016
51643,592,2182215,92.0,94.0,Stratigraphy,Mt Newman,34528015
51644,592,2182215,90.0,92.0,Stratigraphy,Mt Newman,34528014
51647,592,2182215,88.0,90.0,Stratigraphy,Mt Newman,34528013
51648,592,2182215,86.0,88.0,Stratigraphy,Mt Newman,34528012
51651,592,2182215,84.0,86.0,Stratigraphy,Mt Newman,34528011
51652,592,2182215,82.0,84.0,Stratigraphy,Mt Newman,34528010
51655,592,2182215,80.0,82.0,Stratigraphy,Mt Newman,34528009
51656,592,2182215,78.0,80.0,Stratigraphy,Mt Newman,34528008
51659,592,2182215,76.0,78.0,Stratigraphy,Mt Newman,34528007
51660,592,2182215,74.0,76.0,Stratigraphy,Mt Newman,34528006
51664,592,2182215,72.0,74.0,Stratigraphy,Mt Newman,34528005
51667,592,2182215,68.0,70.0,Stratigraphy,Mt Newman,34528003
51668,592,2182215,66.0,68.0,Stratigraphy,Mt Newman,34528002
51671,592,2182215,64.0,66.0,Stratigraphy,Mt Newman,34528001
51672,592,2182215,62.0,64.0,Stratigraphy,TransCover,34528000
51675,592,2182215,60.0,62.0,Stratigraphy,TransCover,34527999
51676,592,2182215,58.0,60.0,Stratigraphy,TransCover,34527998
51679,592,2182215,56.0,58.0,Stratigraphy,TransCover,34527997
51680,592,2182215,54.0,56.0,Stratigraphy,TransCover,34527996
51683,592,2182215,52.0,54.0,Stratigraphy,TransCover,34527995
51684,592,2182215,50.0,52.0,Stratigraphy,TransCover,34527994
51687,592,2182215,48.0,50.0,Stratigraphy,TransCover,34527993
51688,592,2182215,46.0,48.0,Stratigraphy,TransCover,34527992
51691,592,2182215,44.0,46.0,Stratigraphy,TransCover,34527991
51692,592,2182215,42.0,44.0,Stratigraphy,TransCover,34527990
51696,592,2182215,40.0,42.0,Stratigraphy,TransCover,34527989
51699,592,2182215,36.0,38.0,Stratigraphy,TransCover,34527987
55617,592,2182215,0.0,2.0,Stratigraphy,TransCover,34527969
55618,592,2182215,2.0,4.0,Stratigraphy,TransCover,34527970
55619,592,2182215,4.0,6.0,Stratigraphy,TransCover,34527971
55622,592,2182215,6.0,8.0,Stratigraphy,TransCover,34527972
55623,592,2182215,8.0,10.0,Stratigraphy,TransCover,34527973
55624,592,2182215,10.0,12.0,Stratigraphy,TransCover,34527974
55625,592,2182215,12.0,14.0,Stratigraphy,TransCover,34527975
55627,592,2182215,14.0,16.0,Stratigraphy,TransCover,34527976
55628,592,2182215,16.0,18.0,Stratigraphy,TransCover,34527977
55629,592,2182215,18.0,20.0,Stratigraphy,TransCover,34527978
55630,592,2182215,20.0,22.0,Stratigraphy,TransCover,34527979
55633,592,2182215,22.0,24.0,Stratigraphy,TransCover,34527980
55634,592,2182215,24.0,26.0,Stratigraphy,TransCover,34527981
55635,592,2182215,26.0,28.0,Stratigraphy,TransCover,34527982
55636,592,2182215,28.0,30.0,Stratigraphy,TransCover,34527983
55638,592,2182215,30.0,32.0,Stratigraphy,TransCover,34527984
55639,592,2182215,32.0,34.0,Stratigraphy,TransCover,34527985
55641,592,2182215,34.0,36.0,Stratigraphy,TransCover,34527986
55648,592,2182215,38.0,40.0,Stratigraphy,TransCover,34527988
55679,592,2182215,70.0,72.0,Stratigraphy,Mt Newman,34528004
55712,592,2182215,102.0,104.0,Stratigraphy,Mt Newman,34528020
