,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
27696,592,2181797,0.0,15.0,Stratigraphy,TransCover,34499121
27721,592,2181797,15.0,15.1,Stratigraphy,TransCover,34499122
27745,592,2181797,15.1,15.9,Stratigraphy,TransCover,34499123
27779,592,2181797,15.9,17.82,Stratigraphy,TransCover,34499124
27804,592,2181797,17.82,22.92,Stratigraphy,TransCover,34499125
27830,592,2181797,22.92,26.0,Stratigraphy,TransCover,34499126
27862,592,2181797,26.0,26.93,Stratigraphy,TransCover,34499127
27893,592,2181797,26.93,29.8,Stratigraphy,TransCover,34499128
27926,592,2181797,29.8,34.05,Stratigraphy,TransCover,34499129
27957,592,2181797,34.05,34.84,Stratigraphy,TransCover,34499130
27989,592,2181797,34.84,37.8,Stratigraphy,TransCover,34499131
28028,592,2181797,37.8,39.12,Stratigraphy,TransCover,34499132
29034,592,2181797,39.12,41.13,Stratigraphy,TransCover,34499133
29066,592,2181797,41.13,42.25,Stratigraphy,TransCover,34499134
29098,592,2181797,42.25,44.05,Stratigraphy,TransCover,34499135
29129,592,2181797,44.05,45.3,Stratigraphy,TransCover,34499136
29216,592,2181797,45.3,49.22,Stratigraphy,WA,34499137
29339,592,2181797,49.22,50.23,Stratigraphy,WA,34499138
29371,592,2181797,50.23,50.56,Stratigraphy,WA,34499139
30348,592,2181797,50.56,51.7,Stratigraphy,WA,34499140
30416,592,2181797,51.7,52.8,Stratigraphy,WA,34499141
30438,592,2181797,52.8,53.87,Stratigraphy,WA,34499142
30458,592,2181797,53.87,54.45,Stratigraphy,WA,34499143
30484,592,2181797,54.45,56.67,Stratigraphy,WA,34499144
30540,592,2181797,56.67,57.55,Stratigraphy,WA,34499145
31176,592,2181797,57.55,59.8,Stratigraphy,WA,34499146
31640,592,2181797,59.8,61.0,Stratigraphy,LWA,34499147
31655,592,2181797,61.0,61.8,Stratigraphy,LWA,34499148
31675,592,2181797,61.8,64.1,Stratigraphy,Mt Newman,34499149
31690,592,2181797,64.1,64.65,Stratigraphy,Mt Newman,34499150
31706,592,2181797,64.65,64.82,Stratigraphy,Mt Newman,34499151
31721,592,2181797,64.82,68.89,Stratigraphy,Mt Newman,34499152
31738,592,2181797,68.89,69.4,Stratigraphy,Mt Newman,34499153
31753,592,2181797,69.4,70.53,Stratigraphy,Mt Newman,34499154
31769,592,2181797,70.53,70.93,Stratigraphy,Mt Newman,34499155
31784,592,2181797,70.93,75.3,Stratigraphy,Mt Newman,34499156
31802,592,2181797,75.3,77.5,Stratigraphy,Mt Newman,34499157
31817,592,2181797,77.5,90.97,Stratigraphy,Mt Newman,34499158
31833,592,2181797,90.97,91.17,Stratigraphy,Mt Newman,34499159
31848,592,2181797,91.17,94.37,Stratigraphy,Mt Newman,34499160
31865,592,2181797,94.37,95.77,Stratigraphy,Mt Newman,34499161
31880,592,2181797,95.77,96.42,Stratigraphy,Mt Newman,34499162
31896,592,2181797,96.42,100.0,Stratigraphy,Mt Newman,34499163
57593,592,2181797,0.0,15.0,Stratigraphy,TransCover,34499121
57618,592,2181797,15.0,15.1,Stratigraphy,TransCover,34499122
57642,592,2181797,15.1,15.9,Stratigraphy,TransCover,34499123
57676,592,2181797,15.9,17.82,Stratigraphy,TransCover,34499124
57701,592,2181797,17.82,22.92,Stratigraphy,TransCover,34499125
57727,592,2181797,22.92,26.0,Stratigraphy,TransCover,34499126
57759,592,2181797,26.0,26.93,Stratigraphy,TransCover,34499127
57790,592,2181797,26.93,29.8,Stratigraphy,TransCover,34499128
57823,592,2181797,29.8,34.05,Stratigraphy,TransCover,34499129
57854,592,2181797,34.05,34.84,Stratigraphy,TransCover,34499130
57886,592,2181797,34.84,37.8,Stratigraphy,TransCover,34499131
57925,592,2181797,37.8,39.12,Stratigraphy,TransCover,34499132
58931,592,2181797,39.12,41.13,Stratigraphy,TransCover,34499133
58963,592,2181797,41.13,42.25,Stratigraphy,TransCover,34499134
58995,592,2181797,42.25,44.05,Stratigraphy,TransCover,34499135
59026,592,2181797,44.05,45.3,Stratigraphy,TransCover,34499136
59113,592,2181797,45.3,49.22,Stratigraphy,WA,34499137
59236,592,2181797,49.22,50.23,Stratigraphy,WA,34499138
59268,592,2181797,50.23,50.56,Stratigraphy,WA,34499139
60245,592,2181797,50.56,51.7,Stratigraphy,WA,34499140
60313,592,2181797,51.7,52.8,Stratigraphy,WA,34499141
60335,592,2181797,52.8,53.87,Stratigraphy,WA,34499142
60355,592,2181797,53.87,54.45,Stratigraphy,WA,34499143
60381,592,2181797,54.45,56.67,Stratigraphy,WA,34499144
60437,592,2181797,56.67,57.55,Stratigraphy,WA,34499145
61073,592,2181797,57.55,59.8,Stratigraphy,WA,34499146
61537,592,2181797,59.8,61.0,Stratigraphy,LWA,34499147
61552,592,2181797,61.0,61.8,Stratigraphy,LWA,34499148
61572,592,2181797,61.8,64.1,Stratigraphy,Mt Newman,34499149
61587,592,2181797,64.1,64.65,Stratigraphy,Mt Newman,34499150
61603,592,2181797,64.65,64.82,Stratigraphy,Mt Newman,34499151
61618,592,2181797,64.82,68.89,Stratigraphy,Mt Newman,34499152
61635,592,2181797,68.89,69.4,Stratigraphy,Mt Newman,34499153
61650,592,2181797,69.4,70.53,Stratigraphy,Mt Newman,34499154
61666,592,2181797,70.53,70.93,Stratigraphy,Mt Newman,34499155
61681,592,2181797,70.93,75.3,Stratigraphy,Mt Newman,34499156
61699,592,2181797,75.3,77.5,Stratigraphy,Mt Newman,34499157
61714,592,2181797,77.5,90.97,Stratigraphy,Mt Newman,34499158
61730,592,2181797,90.97,91.17,Stratigraphy,Mt Newman,34499159
61745,592,2181797,91.17,94.37,Stratigraphy,Mt Newman,34499160
61762,592,2181797,94.37,95.77,Stratigraphy,Mt Newman,34499161
61777,592,2181797,95.77,96.42,Stratigraphy,Mt Newman,34499162
61793,592,2181797,96.42,100.0,Stratigraphy,Mt Newman,34499163
