,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
65653,2670,2470164,94.0,96.0,Stratigraphy,Paraburdoo,38817159
65654,2670,2470164,76.0,78.0,Stratigraphy,Paraburdoo,38817141
65655,2670,2470164,60.0,62.0,Stratigraphy,Paraburdoo,38817125
65656,2670,2470164,46.0,48.0,Stratigraphy,TransCover,38817112
65657,2670,2470164,40.0,42.0,Stratigraphy,Paraburdoo,38817105
65658,2670,2470164,24.0,26.0,Stratigraphy,TransCover,38817095
65659,2670,2470164,10.0,12.0,Stratigraphy,TransCover,38817088
65989,2670,2470164,0.0,2.0,Stratigraphy,TransCover,38817083
65990,2670,2470164,18.0,20.0,Stratigraphy,TransCover,38817092
65991,2670,2470164,32.0,34.0,Stratigraphy,TransCover,38817099
65992,2670,2470164,42.0,44.0,Stratigraphy,Paraburdoo,38817107
65993,2670,2470164,50.0,52.0,Stratigraphy,Paraburdoo,38817115
65994,2670,2470164,70.0,72.0,Stratigraphy,Paraburdoo,38817135
65995,2670,2470164,84.0,86.0,Stratigraphy,Paraburdoo,38817149
65996,2670,2470164,100.0,102.0,Stratigraphy,Paraburdoo,38817165
67538,2670,2470164,74.0,76.0,Stratigraphy,Paraburdoo,38817139
67539,2670,2470164,56.0,58.0,Stratigraphy,Paraburdoo,38817121
67562,2670,2470164,64.0,66.0,Stratigraphy,Paraburdoo,38817129
67566,2670,2470164,66.0,68.0,Stratigraphy,Paraburdoo,38817131
67567,2670,2470164,98.0,100.0,Stratigraphy,Paraburdoo,38817163
67568,2670,2470164,68.0,70.0,Stratigraphy,Paraburdoo,38817133
67570,2670,2470164,14.0,16.0,Stratigraphy,TransCover,38817090
67571,2670,2470164,40.0,42.0,Stratigraphy,TransCover,38817106
67572,2670,2470164,16.0,18.0,Stratigraphy,TransCover,38817091
67732,2670,2470164,2.0,4.0,Stratigraphy,TransCover,38817084
67733,2670,2470164,8.0,10.0,Stratigraphy,TransCover,38817087
67734,2670,2470164,46.0,48.0,Stratigraphy,Paraburdoo,38817111
67735,2670,2470164,52.0,54.0,Stratigraphy,Paraburdoo,38817117
67736,2670,2470164,78.0,80.0,Stratigraphy,Paraburdoo,38817143
68078,2670,2470164,86.0,88.0,Stratigraphy,Paraburdoo,38817151
68079,2670,2470164,58.0,60.0,Stratigraphy,Paraburdoo,38817123
68080,2670,2470164,38.0,40.0,Stratigraphy,Paraburdoo,38817103
68081,2670,2470164,20.0,22.0,Stratigraphy,TransCover,38817093
68274,2670,2470164,44.0,46.0,Stratigraphy,TransCover,38817110
68275,2670,2470164,62.0,64.0,Stratigraphy,Paraburdoo,38817127
68276,2670,2470164,96.0,98.0,Stratigraphy,Paraburdoo,38817161
69972,2670,2470164,80.0,82.0,Stratigraphy,Paraburdoo,38817145
69973,2670,2470164,48.0,50.0,Stratigraphy,Paraburdoo,38817113
69974,2670,2470164,28.0,30.0,Stratigraphy,TransCover,38817097
70914,2670,2470164,88.0,90.0,Stratigraphy,Paraburdoo,38817153
70915,2670,2470164,54.0,56.0,Stratigraphy,Paraburdoo,38817119
71012,2670,2470164,34.0,36.0,Stratigraphy,TransCover,38817100
71013,2670,2470164,72.0,74.0,Stratigraphy,Paraburdoo,38817137
71184,2670,2470164,92.0,94.0,Stratigraphy,Paraburdoo,38817157
71185,2670,2470164,42.0,44.0,Stratigraphy,TransCover,38817108
71282,2670,2470164,44.0,46.0,Stratigraphy,Paraburdoo,38817109
71283,2670,2470164,90.0,92.0,Stratigraphy,Paraburdoo,38817155
72131,2670,2470164,82.0,84.0,Stratigraphy,Paraburdoo,38817147
72132,2670,2470164,30.0,32.0,Stratigraphy,TransCover,38817098
72141,2670,2470164,36.0,38.0,Stratigraphy,Paraburdoo,38817101
72651,2670,2470164,26.0,28.0,Stratigraphy,TransCover,38817096
72786,2670,2470164,38.0,40.0,Stratigraphy,TransCover,38817104
73538,2670,2470164,36.0,38.0,Stratigraphy,TransCover,38817102
73914,2670,2470164,22.0,24.0,Stratigraphy,TransCover,38817094
73921,2670,2470164,4.0,6.0,Stratigraphy,TransCover,38817085
73927,2670,2470164,6.0,8.0,Stratigraphy,TransCover,38817086
73929,2670,2470164,12.0,14.0,Stratigraphy,TransCover,38817089
74621,2670,2470164,94.0,96.0,Stratigraphy,Paraburdoo,38817159
74622,2670,2470164,76.0,78.0,Stratigraphy,Paraburdoo,38817141
74623,2670,2470164,60.0,62.0,Stratigraphy,Paraburdoo,38817125
74624,2670,2470164,46.0,48.0,Stratigraphy,TransCover,38817112
74625,2670,2470164,40.0,42.0,Stratigraphy,Paraburdoo,38817105
74626,2670,2470164,24.0,26.0,Stratigraphy,TransCover,38817095
74627,2670,2470164,10.0,12.0,Stratigraphy,TransCover,38817088
74957,2670,2470164,0.0,2.0,Stratigraphy,TransCover,38817083
74958,2670,2470164,18.0,20.0,Stratigraphy,TransCover,38817092
74959,2670,2470164,32.0,34.0,Stratigraphy,TransCover,38817099
74960,2670,2470164,42.0,44.0,Stratigraphy,Paraburdoo,38817107
74961,2670,2470164,50.0,52.0,Stratigraphy,Paraburdoo,38817115
74962,2670,2470164,70.0,72.0,Stratigraphy,Paraburdoo,38817135
74963,2670,2470164,84.0,86.0,Stratigraphy,Paraburdoo,38817149
74964,2670,2470164,100.0,102.0,Stratigraphy,Paraburdoo,38817165
76506,2670,2470164,74.0,76.0,Stratigraphy,Paraburdoo,38817139
76507,2670,2470164,56.0,58.0,Stratigraphy,Paraburdoo,38817121
76530,2670,2470164,64.0,66.0,Stratigraphy,Paraburdoo,38817129
76534,2670,2470164,66.0,68.0,Stratigraphy,Paraburdoo,38817131
76535,2670,2470164,98.0,100.0,Stratigraphy,Paraburdoo,38817163
76536,2670,2470164,68.0,70.0,Stratigraphy,Paraburdoo,38817133
76538,2670,2470164,14.0,16.0,Stratigraphy,TransCover,38817090
76539,2670,2470164,40.0,42.0,Stratigraphy,TransCover,38817106
76540,2670,2470164,16.0,18.0,Stratigraphy,TransCover,38817091
76700,2670,2470164,2.0,4.0,Stratigraphy,TransCover,38817084
76701,2670,2470164,8.0,10.0,Stratigraphy,TransCover,38817087
76702,2670,2470164,46.0,48.0,Stratigraphy,Paraburdoo,38817111
76703,2670,2470164,52.0,54.0,Stratigraphy,Paraburdoo,38817117
76704,2670,2470164,78.0,80.0,Stratigraphy,Paraburdoo,38817143
77046,2670,2470164,86.0,88.0,Stratigraphy,Paraburdoo,38817151
77047,2670,2470164,58.0,60.0,Stratigraphy,Paraburdoo,38817123
77048,2670,2470164,38.0,40.0,Stratigraphy,Paraburdoo,38817103
77049,2670,2470164,20.0,22.0,Stratigraphy,TransCover,38817093
77242,2670,2470164,44.0,46.0,Stratigraphy,TransCover,38817110
77243,2670,2470164,62.0,64.0,Stratigraphy,Paraburdoo,38817127
77244,2670,2470164,96.0,98.0,Stratigraphy,Paraburdoo,38817161
78940,2670,2470164,80.0,82.0,Stratigraphy,Paraburdoo,38817145
78941,2670,2470164,48.0,50.0,Stratigraphy,Paraburdoo,38817113
78942,2670,2470164,28.0,30.0,Stratigraphy,TransCover,38817097
79882,2670,2470164,88.0,90.0,Stratigraphy,Paraburdoo,38817153
79883,2670,2470164,54.0,56.0,Stratigraphy,Paraburdoo,38817119
79980,2670,2470164,34.0,36.0,Stratigraphy,TransCover,38817100
79981,2670,2470164,72.0,74.0,Stratigraphy,Paraburdoo,38817137
80152,2670,2470164,92.0,94.0,Stratigraphy,Paraburdoo,38817157
80153,2670,2470164,42.0,44.0,Stratigraphy,TransCover,38817108
80250,2670,2470164,44.0,46.0,Stratigraphy,Paraburdoo,38817109
80251,2670,2470164,90.0,92.0,Stratigraphy,Paraburdoo,38817155
81099,2670,2470164,82.0,84.0,Stratigraphy,Paraburdoo,38817147
81100,2670,2470164,30.0,32.0,Stratigraphy,TransCover,38817098
81109,2670,2470164,36.0,38.0,Stratigraphy,Paraburdoo,38817101
81619,2670,2470164,26.0,28.0,Stratigraphy,TransCover,38817096
81754,2670,2470164,38.0,40.0,Stratigraphy,TransCover,38817104
82506,2670,2470164,36.0,38.0,Stratigraphy,TransCover,38817102
82882,2670,2470164,22.0,24.0,Stratigraphy,TransCover,38817094
82889,2670,2470164,4.0,6.0,Stratigraphy,TransCover,38817085
82895,2670,2470164,6.0,8.0,Stratigraphy,TransCover,38817086
82897,2670,2470164,12.0,14.0,Stratigraphy,TransCover,38817089
