,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
67924,2670,2470330,0.0,4.0,Stratigraphy,TransCover,38827337
67925,2670,2470330,32.0,46.0,Stratigraphy,Fortescue,38827340
67926,2670,2470330,70.0,76.0,Stratigraphy,Fortescue,38827344
71108,2670,2470330,62.0,70.0,Stratigraphy,Fortescue,38827343
72699,2670,2470330,59.0,62.0,Stratigraphy,Fortescue,38827342
73490,2670,2470330,4.0,10.0,Stratigraphy,Fortescue,38827338
73890,2670,2470330,10.0,32.0,Stratigraphy,Fortescue,38827339
73939,2670,2470330,80.0,92.0,Stratigraphy,Fortescue,38827346
73948,2670,2470330,76.0,80.0,Stratigraphy,Fortescue,38827345
73954,2670,2470330,46.0,59.0,Stratigraphy,Fortescue,38827341
76892,2670,2470330,0.0,4.0,Stratigraphy,TransCover,38827337
76893,2670,2470330,32.0,46.0,Stratigraphy,Fortescue,38827340
76894,2670,2470330,70.0,76.0,Stratigraphy,Fortescue,38827344
80076,2670,2470330,62.0,70.0,Stratigraphy,Fortescue,38827343
81667,2670,2470330,59.0,62.0,Stratigraphy,Fortescue,38827342
82458,2670,2470330,4.0,10.0,Stratigraphy,Fortescue,38827338
82858,2670,2470330,10.0,32.0,Stratigraphy,Fortescue,38827339
82907,2670,2470330,80.0,92.0,Stratigraphy,Fortescue,38827346
82916,2670,2470330,76.0,80.0,Stratigraphy,Fortescue,38827345
82922,2670,2470330,46.0,59.0,Stratigraphy,Fortescue,38827341
