,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
18605,592,2181880,88.0,90.0,Stratigraphy,McLeod,34504455
18606,592,2181880,86.0,88.0,Stratigraphy,McLeod,34504454
18607,592,2181880,84.0,86.0,Stratigraphy,McLeod,34504453
18609,592,2181880,80.0,82.0,Stratigraphy,McLeod,34504451
18610,592,2181880,78.0,80.0,Stratigraphy,McLeod,34504450
18611,592,2181880,76.0,78.0,Stratigraphy,Mt Newman,34504449
18612,592,2181880,74.0,76.0,Stratigraphy,Mt Newman,34504448
18613,592,2181880,72.0,74.0,Stratigraphy,Mt Newman,34504447
18614,592,2181880,70.0,72.0,Stratigraphy,Mt Newman,34504446
18615,592,2181880,68.0,70.0,Stratigraphy,Mt Newman,34504445
18617,592,2181880,64.0,66.0,Stratigraphy,TransCover,34504443
18618,592,2181880,62.0,64.0,Stratigraphy,TransCover,34504442
18619,592,2181880,60.0,62.0,Stratigraphy,TransCover,34504441
18620,592,2181880,58.0,60.0,Stratigraphy,TransCover,34504440
18621,592,2181880,56.0,58.0,Stratigraphy,TransCover,34504439
18622,592,2181880,54.0,56.0,Stratigraphy,TransCover,34504438
18623,592,2181880,52.0,54.0,Stratigraphy,TransCover,34504437
18625,592,2181880,48.0,50.0,Stratigraphy,TransCover,34504435
18626,592,2181880,46.0,48.0,Stratigraphy,TransCover,34504434
18627,592,2181880,44.0,46.0,Stratigraphy,TransCover,34504433
18628,592,2181880,42.0,44.0,Stratigraphy,TransCover,34504432
18629,592,2181880,40.0,42.0,Stratigraphy,TransCover,34504431
18630,592,2181880,38.0,40.0,Stratigraphy,TransCover,34504430
18631,592,2181880,36.0,38.0,Stratigraphy,TransCover,34504429
18633,592,2181880,32.0,34.0,Stratigraphy,TransCover,34504427
18634,592,2181880,30.0,32.0,Stratigraphy,TransCover,34504426
18635,592,2181880,28.0,30.0,Stratigraphy,TransCover,34504425
18636,592,2181880,26.0,28.0,Stratigraphy,TransCover,34504424
18637,592,2181880,24.0,26.0,Stratigraphy,TransCover,34504423
18638,592,2181880,22.0,24.0,Stratigraphy,TransCover,34504422
18639,592,2181880,20.0,22.0,Stratigraphy,TransCover,34504421
18641,592,2181880,16.0,18.0,Stratigraphy,TransCover,34504419
18642,592,2181880,14.0,16.0,Stratigraphy,TransCover,34504418
18643,592,2181880,12.0,14.0,Stratigraphy,TransCover,34504417
18644,592,2181880,10.0,12.0,Stratigraphy,TransCover,34504416
18645,592,2181880,8.0,10.0,Stratigraphy,TransCover,34504415
18646,592,2181880,6.0,8.0,Stratigraphy,TransCover,34504414
18647,592,2181880,4.0,6.0,Stratigraphy,TransCover,34504413
18649,592,2181880,0.0,2.0,Stratigraphy,TransCover,34504411
31500,592,2181880,82.0,84.0,Stratigraphy,McLeod,34504452
31504,592,2181880,66.0,68.0,Stratigraphy,TransCover,34504444
31508,592,2181880,50.0,52.0,Stratigraphy,TransCover,34504436
31512,592,2181880,34.0,36.0,Stratigraphy,TransCover,34504428
31516,592,2181880,18.0,20.0,Stratigraphy,TransCover,34504420
31520,592,2181880,2.0,4.0,Stratigraphy,TransCover,34504412
48502,592,2181880,88.0,90.0,Stratigraphy,McLeod,34504455
48503,592,2181880,86.0,88.0,Stratigraphy,McLeod,34504454
48504,592,2181880,84.0,86.0,Stratigraphy,McLeod,34504453
48506,592,2181880,80.0,82.0,Stratigraphy,McLeod,34504451
48507,592,2181880,78.0,80.0,Stratigraphy,McLeod,34504450
48508,592,2181880,76.0,78.0,Stratigraphy,Mt Newman,34504449
48509,592,2181880,74.0,76.0,Stratigraphy,Mt Newman,34504448
48510,592,2181880,72.0,74.0,Stratigraphy,Mt Newman,34504447
48511,592,2181880,70.0,72.0,Stratigraphy,Mt Newman,34504446
48512,592,2181880,68.0,70.0,Stratigraphy,Mt Newman,34504445
