,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
66378,2670,2470290,152.0,154.0,Stratigraphy,Mt Newman,38825796
66379,2670,2470290,150.0,152.0,Stratigraphy,Mt Newman,38825795
66380,2670,2470290,142.0,144.0,Stratigraphy,Mt Newman,38825791
66381,2670,2470290,138.0,140.0,Stratigraphy,Mt Newman,38825789
66382,2670,2470290,126.0,128.0,Stratigraphy,Mt Newman,38825783
66383,2670,2470290,122.0,124.0,Stratigraphy,Mt Newman,38825781
66384,2670,2470290,114.0,116.0,Stratigraphy,Mt Newman,38825777
66385,2670,2470290,112.0,114.0,Stratigraphy,Mt Newman,38825776
66386,2670,2470290,98.0,100.0,Stratigraphy,TransCover,38825764
66387,2670,2470290,94.0,96.0,Stratigraphy,Mt Newman,38825761
66388,2670,2470290,92.0,94.0,Stratigraphy,TransCover,38825758
66389,2670,2470290,90.0,92.0,Stratigraphy,Mt Newman,38825757
66390,2670,2470290,84.0,86.0,Stratigraphy,TransCover,38825750
66391,2670,2470290,82.0,84.0,Stratigraphy,Mt Newman,38825749
66392,2670,2470290,78.0,80.0,Stratigraphy,Mt Newman,38825745
66393,2670,2470290,76.0,78.0,Stratigraphy,Mt Newman,38825743
66394,2670,2470290,68.0,70.0,Stratigraphy,Mt Newman,38825735
66395,2670,2470290,68.0,70.0,Stratigraphy,TransCover,38825734
66396,2670,2470290,60.0,62.0,Stratigraphy,TransCover,38825730
66397,2670,2470290,56.0,58.0,Stratigraphy,TransCover,38825728
66398,2670,2470290,38.0,40.0,Stratigraphy,TransCover,38825719
66399,2670,2470290,32.0,34.0,Stratigraphy,TransCover,38825716
66400,2670,2470290,20.0,22.0,Stratigraphy,TransCover,38825710
66401,2670,2470290,18.0,20.0,Stratigraphy,TransCover,38825709
66916,2670,2470290,40.0,42.0,Stratigraphy,TransCover,38825720
66917,2670,2470290,42.0,44.0,Stratigraphy,TransCover,38825721
68894,2670,2470290,30.0,32.0,Stratigraphy,TransCover,38825715
68896,2670,2470290,12.0,14.0,Stratigraphy,TransCover,38825706
69386,2670,2470290,2.0,4.0,Stratigraphy,TransCover,38825701
69387,2670,2470290,16.0,18.0,Stratigraphy,TransCover,38825708
69388,2670,2470290,24.0,26.0,Stratigraphy,TransCover,38825712
69389,2670,2470290,36.0,38.0,Stratigraphy,TransCover,38825718
69390,2670,2470290,50.0,52.0,Stratigraphy,TransCover,38825725
69391,2670,2470290,58.0,60.0,Stratigraphy,TransCover,38825729
69392,2670,2470290,66.0,68.0,Stratigraphy,TransCover,38825733
69394,2670,2470290,74.0,76.0,Stratigraphy,Mt Newman,38825741
