,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
12013,592,2182267,0.0,2.0,Stratigraphy,TransCover,34531258
12017,592,2182267,8.0,10.0,Stratigraphy,TransCover,34531262
12025,592,2182267,24.0,26.0,Stratigraphy,Mt Newman,34531270
12029,592,2182267,32.0,34.0,Stratigraphy,Mt Newman,34531274
12033,592,2182267,40.0,42.0,Stratigraphy,Mt Newman,34531278
12041,592,2182267,56.0,58.0,Stratigraphy,McLeod,34531286
12045,592,2182267,64.0,66.0,Stratigraphy,McLeod,34531290
12065,592,2182267,46.0,48.0,Stratigraphy,Mt Newman,34531281
28205,592,2182267,6.0,8.0,Stratigraphy,TransCover,34531261
28206,592,2182267,10.0,12.0,Stratigraphy,TransCover,34531263
28207,592,2182267,14.0,16.0,Stratigraphy,TransCover,34531265
28209,592,2182267,22.0,24.0,Stratigraphy,Mt Newman,34531269
28210,592,2182267,26.0,28.0,Stratigraphy,Mt Newman,34531271
28211,592,2182267,30.0,32.0,Stratigraphy,Mt Newman,34531273
28213,592,2182267,38.0,40.0,Stratigraphy,Mt Newman,34531277
28214,592,2182267,42.0,44.0,Stratigraphy,Mt Newman,34531279
28217,592,2182267,54.0,56.0,Stratigraphy,McLeod,34531285
28218,592,2182267,58.0,60.0,Stratigraphy,McLeod,34531287
28219,592,2182267,62.0,64.0,Stratigraphy,McLeod,34531289
34987,592,2182267,48.0,50.0,Stratigraphy,Mt Newman,34531282
34991,592,2182267,50.0,52.0,Stratigraphy,Mt Newman,34531283
34992,592,2182267,60.0,62.0,Stratigraphy,McLeod,34531288
34993,592,2182267,52.0,54.0,Stratigraphy,Mt Newman,34531284
34995,592,2182267,16.0,18.0,Stratigraphy,TransCover,34531266
34996,592,2182267,34.0,36.0,Stratigraphy,Mt Newman,34531275
34997,592,2182267,44.0,46.0,Stratigraphy,Mt Newman,34531280
34998,592,2182267,36.0,38.0,Stratigraphy,Mt Newman,34531276
34999,592,2182267,18.0,20.0,Stratigraphy,TransCover,34531267
35000,592,2182267,28.0,30.0,Stratigraphy,Mt Newman,34531272
35001,592,2182267,20.0,22.0,Stratigraphy,TransCover,34531268
35003,592,2182267,2.0,4.0,Stratigraphy,TransCover,34531259
35004,592,2182267,12.0,14.0,Stratigraphy,TransCover,34531264
35005,592,2182267,4.0,6.0,Stratigraphy,TransCover,34531260
41910,592,2182267,0.0,2.0,Stratigraphy,TransCover,34531258
41914,592,2182267,8.0,10.0,Stratigraphy,TransCover,34531262
41922,592,2182267,24.0,26.0,Stratigraphy,Mt Newman,34531270
41926,592,2182267,32.0,34.0,Stratigraphy,Mt Newman,34531274
41930,592,2182267,40.0,42.0,Stratigraphy,Mt Newman,34531278
41938,592,2182267,56.0,58.0,Stratigraphy,McLeod,34531286
41942,592,2182267,64.0,66.0,Stratigraphy,McLeod,34531290
41962,592,2182267,46.0,48.0,Stratigraphy,Mt Newman,34531281
58102,592,2182267,6.0,8.0,Stratigraphy,TransCover,34531261
58103,592,2182267,10.0,12.0,Stratigraphy,TransCover,34531263
58104,592,2182267,14.0,16.0,Stratigraphy,TransCover,34531265
58106,592,2182267,22.0,24.0,Stratigraphy,Mt Newman,34531269
58107,592,2182267,26.0,28.0,Stratigraphy,Mt Newman,34531271
58108,592,2182267,30.0,32.0,Stratigraphy,Mt Newman,34531273
58110,592,2182267,38.0,40.0,Stratigraphy,Mt Newman,34531277
58111,592,2182267,42.0,44.0,Stratigraphy,Mt Newman,34531279
58114,592,2182267,54.0,56.0,Stratigraphy,McLeod,34531285
58115,592,2182267,58.0,60.0,Stratigraphy,McLeod,34531287
58116,592,2182267,62.0,64.0,Stratigraphy,McLeod,34531289
64884,592,2182267,48.0,50.0,Stratigraphy,Mt Newman,34531282
64888,592,2182267,50.0,52.0,Stratigraphy,Mt Newman,34531283
64889,592,2182267,60.0,62.0,Stratigraphy,McLeod,34531288
64890,592,2182267,52.0,54.0,Stratigraphy,Mt Newman,34531284
64892,592,2182267,16.0,18.0,Stratigraphy,TransCover,34531266
64893,592,2182267,34.0,36.0,Stratigraphy,Mt Newman,34531275
64894,592,2182267,44.0,46.0,Stratigraphy,Mt Newman,34531280
64895,592,2182267,36.0,38.0,Stratigraphy,Mt Newman,34531276
64896,592,2182267,18.0,20.0,Stratigraphy,TransCover,34531267
64897,592,2182267,28.0,30.0,Stratigraphy,Mt Newman,34531272
64898,592,2182267,20.0,22.0,Stratigraphy,TransCover,34531268
64900,592,2182267,2.0,4.0,Stratigraphy,TransCover,34531259
64901,592,2182267,12.0,14.0,Stratigraphy,TransCover,34531264
64902,592,2182267,4.0,6.0,Stratigraphy,TransCover,34531260
