,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
24616,592,2182163,0.0,2.0,Stratigraphy,TransCover,34524181
24618,592,2182163,2.0,4.0,Stratigraphy,TransCover,34524182
24619,592,2182163,4.0,6.0,Stratigraphy,TransCover,34524183
24624,592,2182163,6.0,8.0,Stratigraphy,TransCover,34524184
24625,592,2182163,8.0,10.0,Stratigraphy,TransCover,34524185
24627,592,2182163,10.0,12.0,Stratigraphy,TransCover,34524186
24628,592,2182163,12.0,14.0,Stratigraphy,TransCover,34524187
24631,592,2182163,14.0,16.0,Stratigraphy,TransCover,34524188
24632,592,2182163,16.0,18.0,Stratigraphy,TransCover,34524189
24634,592,2182163,18.0,20.0,Stratigraphy,TransCover,34524190
24635,592,2182163,20.0,22.0,Stratigraphy,TransCover,34524191
24639,592,2182163,22.0,24.0,Stratigraphy,TransCover,34524192
24640,592,2182163,24.0,26.0,Stratigraphy,TransCover,34524193
24642,592,2182163,26.0,28.0,Stratigraphy,TransCover,34524194
24643,592,2182163,28.0,30.0,Stratigraphy,TransCover,34524195
24646,592,2182163,30.0,32.0,Stratigraphy,TransCover,34524196
24647,592,2182163,32.0,34.0,Stratigraphy,TransCover,34524197
24649,592,2182163,34.0,36.0,Stratigraphy,TransCover,34524198
24650,592,2182163,36.0,38.0,Stratigraphy,TransCover,34524199
24656,592,2182163,38.0,40.0,Stratigraphy,TransCover,34524200
24657,592,2182163,40.0,42.0,Stratigraphy,TransCover,34524201
24659,592,2182163,42.0,44.0,Stratigraphy,TransCover,34524202
24660,592,2182163,44.0,46.0,Stratigraphy,TransCover,34524203
24662,592,2182163,46.0,48.0,Stratigraphy,TransCover,34524204
24664,592,2182163,48.0,50.0,Stratigraphy,TransCover,34524205
24666,592,2182163,50.0,52.0,Stratigraphy,TransCover,34524206
24667,592,2182163,52.0,54.0,Stratigraphy,TransCover,34524207
24670,592,2182163,54.0,56.0,Stratigraphy,TransCover,34524208
24672,592,2182163,56.0,58.0,Stratigraphy,TransCover,34524209
24674,592,2182163,58.0,60.0,Stratigraphy,TransCover,34524210
24675,592,2182163,60.0,62.0,Stratigraphy,TransCover,34524211
24677,592,2182163,62.0,64.0,Stratigraphy,TransCover,34524212
24679,592,2182163,64.0,66.0,Stratigraphy,TransCover,34524213
24681,592,2182163,66.0,68.0,Stratigraphy,TransCover,34524214
24682,592,2182163,68.0,70.0,Stratigraphy,TransCover,34524215
24686,592,2182163,70.0,72.0,Stratigraphy,TransCover,34524216
24688,592,2182163,72.0,74.0,Stratigraphy,TransCover,34524217
24690,592,2182163,74.0,76.0,Stratigraphy,TransCover,34524218
24691,592,2182163,76.0,78.0,Stratigraphy,TransCover,34524219
24693,592,2182163,78.0,80.0,Stratigraphy,TransCover,34524220
24695,592,2182163,80.0,82.0,Stratigraphy,TransCover,34524221
24697,592,2182163,82.0,84.0,Stratigraphy,TransCover,34524222
24698,592,2182163,84.0,86.0,Stratigraphy,TransCover,34524223
24701,592,2182163,86.0,88.0,Stratigraphy,TransCover,34524224
24703,592,2182163,88.0,90.0,Stratigraphy,TransCover,34524225
24705,592,2182163,90.0,92.0,Stratigraphy,TransCover,34524226
24706,592,2182163,92.0,94.0,Stratigraphy,TransCover,34524227
24708,592,2182163,94.0,96.0,Stratigraphy,TransCover,34524228
24710,592,2182163,96.0,98.0,Stratigraphy,TransCover,34524229
24712,592,2182163,98.0,100.0,Stratigraphy,TransCover,34524230
24713,592,2182163,100.0,102.0,Stratigraphy,TransCover,34524231
24721,592,2182163,102.0,104.0,Stratigraphy,TransCover,34524232
24724,592,2182163,104.0,106.0,Stratigraphy,TransCover,34524233
24726,592,2182163,106.0,108.0,Stratigraphy,TransCover,34524234
24727,592,2182163,108.0,110.0,Stratigraphy,TransCover,34524235
24729,592,2182163,110.0,112.0,Stratigraphy,TransCover,34524236
24731,592,2182163,112.0,114.0,Stratigraphy,TransCover,34524237
24733,592,2182163,114.0,116.0,Stratigraphy,Mt Newman,34524238
24734,592,2182163,116.0,118.0,Stratigraphy,Mt Newman,34524239
24737,592,2182163,118.0,120.0,Stratigraphy,Mt Newman,34524240
24739,592,2182163,120.0,122.0,Stratigraphy,Mt Newman,34524241
24741,592,2182163,122.0,124.0,Stratigraphy,Mt Newman,34524242
24742,592,2182163,124.0,126.0,Stratigraphy,Mt Newman,34524243
24744,592,2182163,126.0,128.0,Stratigraphy,Mt Newman,34524244
24746,592,2182163,128.0,130.0,Stratigraphy,Mt Newman,34524245
24748,592,2182163,130.0,132.0,Stratigraphy,Mt Newman,34524246
24749,592,2182163,132.0,134.0,Stratigraphy,Mt Newman,34524247
24753,592,2182163,134.0,136.0,Stratigraphy,Mt Newman,34524248
24755,592,2182163,136.0,138.0,Stratigraphy,Mt Newman,34524249
24757,592,2182163,138.0,140.0,Stratigraphy,Mt Newman,34524250
24758,592,2182163,140.0,142.0,Stratigraphy,Mt Newman,34524251
24760,592,2182163,142.0,144.0,Stratigraphy,Mt Newman,34524252
24762,592,2182163,144.0,146.0,Stratigraphy,Mt Newman,34524253
24764,592,2182163,146.0,148.0,Stratigraphy,Mt Newman,34524254
24765,592,2182163,148.0,150.0,Stratigraphy,Mt Newman,34524255
24768,592,2182163,150.0,152.0,Stratigraphy,Mt Newman,34524256
24770,592,2182163,152.0,154.0,Stratigraphy,McLeod,34524257
24772,592,2182163,154.0,156.0,Stratigraphy,McLeod,34524258
24773,592,2182163,156.0,158.0,Stratigraphy,McLeod,34524259
24775,592,2182163,158.0,160.0,Stratigraphy,McLeod,34524260
24777,592,2182163,160.0,162.0,Stratigraphy,McLeod,34524261
54513,592,2182163,0.0,2.0,Stratigraphy,TransCover,34524181
54515,592,2182163,2.0,4.0,Stratigraphy,TransCover,34524182
54516,592,2182163,4.0,6.0,Stratigraphy,TransCover,34524183
54521,592,2182163,6.0,8.0,Stratigraphy,TransCover,34524184
54522,592,2182163,8.0,10.0,Stratigraphy,TransCover,34524185
54524,592,2182163,10.0,12.0,Stratigraphy,TransCover,34524186
54525,592,2182163,12.0,14.0,Stratigraphy,TransCover,34524187
54528,592,2182163,14.0,16.0,Stratigraphy,TransCover,34524188
54529,592,2182163,16.0,18.0,Stratigraphy,TransCover,34524189
54531,592,2182163,18.0,20.0,Stratigraphy,TransCover,34524190
54532,592,2182163,20.0,22.0,Stratigraphy,TransCover,34524191
54536,592,2182163,22.0,24.0,Stratigraphy,TransCover,34524192
54537,592,2182163,24.0,26.0,Stratigraphy,TransCover,34524193
54539,592,2182163,26.0,28.0,Stratigraphy,TransCover,34524194
54540,592,2182163,28.0,30.0,Stratigraphy,TransCover,34524195
54543,592,2182163,30.0,32.0,Stratigraphy,TransCover,34524196
54544,592,2182163,32.0,34.0,Stratigraphy,TransCover,34524197
54546,592,2182163,34.0,36.0,Stratigraphy,TransCover,34524198
54547,592,2182163,36.0,38.0,Stratigraphy,TransCover,34524199
54553,592,2182163,38.0,40.0,Stratigraphy,TransCover,34524200
54554,592,2182163,40.0,42.0,Stratigraphy,TransCover,34524201
54556,592,2182163,42.0,44.0,Stratigraphy,TransCover,34524202
54557,592,2182163,44.0,46.0,Stratigraphy,TransCover,34524203
54559,592,2182163,46.0,48.0,Stratigraphy,TransCover,34524204
54561,592,2182163,48.0,50.0,Stratigraphy,TransCover,34524205
54563,592,2182163,50.0,52.0,Stratigraphy,TransCover,34524206
54564,592,2182163,52.0,54.0,Stratigraphy,TransCover,34524207
54567,592,2182163,54.0,56.0,Stratigraphy,TransCover,34524208
54569,592,2182163,56.0,58.0,Stratigraphy,TransCover,34524209
54571,592,2182163,58.0,60.0,Stratigraphy,TransCover,34524210
54572,592,2182163,60.0,62.0,Stratigraphy,TransCover,34524211
54574,592,2182163,62.0,64.0,Stratigraphy,TransCover,34524212
54576,592,2182163,64.0,66.0,Stratigraphy,TransCover,34524213
54578,592,2182163,66.0,68.0,Stratigraphy,TransCover,34524214
54579,592,2182163,68.0,70.0,Stratigraphy,TransCover,34524215
54583,592,2182163,70.0,72.0,Stratigraphy,TransCover,34524216
54585,592,2182163,72.0,74.0,Stratigraphy,TransCover,34524217
54587,592,2182163,74.0,76.0,Stratigraphy,TransCover,34524218
54588,592,2182163,76.0,78.0,Stratigraphy,TransCover,34524219
54590,592,2182163,78.0,80.0,Stratigraphy,TransCover,34524220
54592,592,2182163,80.0,82.0,Stratigraphy,TransCover,34524221
54594,592,2182163,82.0,84.0,Stratigraphy,TransCover,34524222
54595,592,2182163,84.0,86.0,Stratigraphy,TransCover,34524223
54598,592,2182163,86.0,88.0,Stratigraphy,TransCover,34524224
54600,592,2182163,88.0,90.0,Stratigraphy,TransCover,34524225
54602,592,2182163,90.0,92.0,Stratigraphy,TransCover,34524226
54603,592,2182163,92.0,94.0,Stratigraphy,TransCover,34524227
54605,592,2182163,94.0,96.0,Stratigraphy,TransCover,34524228
54607,592,2182163,96.0,98.0,Stratigraphy,TransCover,34524229
54609,592,2182163,98.0,100.0,Stratigraphy,TransCover,34524230
54610,592,2182163,100.0,102.0,Stratigraphy,TransCover,34524231
54618,592,2182163,102.0,104.0,Stratigraphy,TransCover,34524232
54621,592,2182163,104.0,106.0,Stratigraphy,TransCover,34524233
54623,592,2182163,106.0,108.0,Stratigraphy,TransCover,34524234
54624,592,2182163,108.0,110.0,Stratigraphy,TransCover,34524235
54626,592,2182163,110.0,112.0,Stratigraphy,TransCover,34524236
54628,592,2182163,112.0,114.0,Stratigraphy,TransCover,34524237
54630,592,2182163,114.0,116.0,Stratigraphy,Mt Newman,34524238
54631,592,2182163,116.0,118.0,Stratigraphy,Mt Newman,34524239
54634,592,2182163,118.0,120.0,Stratigraphy,Mt Newman,34524240
54636,592,2182163,120.0,122.0,Stratigraphy,Mt Newman,34524241
54638,592,2182163,122.0,124.0,Stratigraphy,Mt Newman,34524242
54639,592,2182163,124.0,126.0,Stratigraphy,Mt Newman,34524243
54641,592,2182163,126.0,128.0,Stratigraphy,Mt Newman,34524244
54643,592,2182163,128.0,130.0,Stratigraphy,Mt Newman,34524245
54645,592,2182163,130.0,132.0,Stratigraphy,Mt Newman,34524246
54646,592,2182163,132.0,134.0,Stratigraphy,Mt Newman,34524247
54650,592,2182163,134.0,136.0,Stratigraphy,Mt Newman,34524248
54652,592,2182163,136.0,138.0,Stratigraphy,Mt Newman,34524249
54654,592,2182163,138.0,140.0,Stratigraphy,Mt Newman,34524250
54655,592,2182163,140.0,142.0,Stratigraphy,Mt Newman,34524251
54657,592,2182163,142.0,144.0,Stratigraphy,Mt Newman,34524252
54659,592,2182163,144.0,146.0,Stratigraphy,Mt Newman,34524253
54661,592,2182163,146.0,148.0,Stratigraphy,Mt Newman,34524254
54662,592,2182163,148.0,150.0,Stratigraphy,Mt Newman,34524255
54665,592,2182163,150.0,152.0,Stratigraphy,Mt Newman,34524256
54667,592,2182163,152.0,154.0,Stratigraphy,McLeod,34524257
54669,592,2182163,154.0,156.0,Stratigraphy,McLeod,34524258
54670,592,2182163,156.0,158.0,Stratigraphy,McLeod,34524259
54672,592,2182163,158.0,160.0,Stratigraphy,McLeod,34524260
54674,592,2182163,160.0,162.0,Stratigraphy,McLeod,34524261
