,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
5778,592,2181804,8.0,10.0,Stratigraphy,TransCover,34499482
5810,592,2181804,40.0,42.0,Stratigraphy,TransCover,34499514
8622,592,2181804,42.0,44.0,Stratigraphy,TransCover,34499515
10434,592,2181804,10.0,12.0,Stratigraphy,TransCover,34499483
10440,592,2181804,42.0,44.0,Stratigraphy,TransCover,34499516
11412,592,2181804,44.0,46.0,Stratigraphy,Mt Newman,34499517
11487,592,2181804,44.0,46.0,Stratigraphy,TransCover,34499518
12986,592,2181804,10.0,12.0,Stratigraphy,TransCover,34499484
13026,592,2181804,46.0,48.0,Stratigraphy,Mt Newman,34499519
13682,592,2181804,46.0,48.0,Stratigraphy,TransCover,34499520
15709,592,2181804,88.0,90.0,Stratigraphy,Mt Newman,34499562
15756,592,2181804,12.0,14.0,Stratigraphy,TransCover,34499485
15761,592,2181804,48.0,50.0,Stratigraphy,Mt Newman,34499521
15799,592,2181804,48.0,50.0,Stratigraphy,Mt Newman,34499522
17193,592,2181804,50.0,52.0,Stratigraphy,Mt Newman,34499523
17204,592,2181804,12.0,14.0,Stratigraphy,TransCover,34499486
18096,592,2181804,50.0,52.0,Stratigraphy,Mt Newman,34499524
19110,592,2181804,14.0,16.0,Stratigraphy,TransCover,34499487
19120,592,2181804,52.0,54.0,Stratigraphy,Mt Newman,34499525
19553,592,2181804,74.0,76.0,Stratigraphy,McLeod,34499547
20750,592,2181804,52.0,54.0,Stratigraphy,Mt Newman,34499526
20755,592,2181804,14.0,16.0,Stratigraphy,TransCover,34499488
21178,592,2181804,54.0,56.0,Stratigraphy,Mt Newman,34499527
22586,592,2181804,16.0,18.0,Stratigraphy,TransCover,34499489
22589,592,2181804,54.0,56.0,Stratigraphy,Mt Newman,34499528
23106,592,2181804,56.0,58.0,Stratigraphy,Mt Newman,34499529
23137,592,2181804,60.0,62.0,Stratigraphy,Mt Newman,34499533
23165,592,2181804,58.0,60.0,Stratigraphy,Mt Newman,34499532
