,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
15151,592,2182121,232.0,234.0,Stratigraphy,McLeod,34520809
15152,592,2182121,230.0,232.0,Stratigraphy,McLeod,34520808
15153,592,2182121,228.0,230.0,Stratigraphy,McLeod,34520807
15154,592,2182121,226.0,228.0,Stratigraphy,McLeod,34520806
15155,592,2182121,224.0,226.0,Stratigraphy,McLeod,34520805
15156,592,2182121,222.0,224.0,Stratigraphy,McLeod,34520804
15157,592,2182121,220.0,222.0,Stratigraphy,McLeod,34520803
15158,592,2182121,218.0,220.0,Stratigraphy,McLeod,34520802
15159,592,2182121,216.0,218.0,Stratigraphy,McLeod,34520801
15161,592,2182121,212.0,214.0,Stratigraphy,McLeod,34520799
15162,592,2182121,210.0,212.0,Stratigraphy,McLeod,34520798
15163,592,2182121,208.0,210.0,Stratigraphy,McLeod,34520797
15164,592,2182121,206.0,208.0,Stratigraphy,Mt Newman,34520796
15165,592,2182121,204.0,206.0,Stratigraphy,Mt Newman,34520795
15166,592,2182121,202.0,204.0,Stratigraphy,Mt Newman,34520794
15167,592,2182121,200.0,202.0,Stratigraphy,Mt Newman,34520793
15168,592,2182121,198.0,200.0,Stratigraphy,Mt Newman,34520792
15169,592,2182121,196.0,198.0,Stratigraphy,Mt Newman,34520791
15170,592,2182121,194.0,196.0,Stratigraphy,Mt Newman,34520790
15171,592,2182121,192.0,194.0,Stratigraphy,Mt Newman,34520789
15172,592,2182121,190.0,192.0,Stratigraphy,Mt Newman,34520788
15173,592,2182121,188.0,190.0,Stratigraphy,Mt Newman,34520787
15174,592,2182121,186.0,188.0,Stratigraphy,Mt Newman,34520786
15175,592,2182121,184.0,186.0,Stratigraphy,Mt Newman,34520785
15177,592,2182121,180.0,182.0,Stratigraphy,Mt Newman,34520783
15178,592,2182121,178.0,180.0,Stratigraphy,Mt Newman,34520782
15179,592,2182121,176.0,178.0,Stratigraphy,Mt Newman,34520781
15180,592,2182121,174.0,176.0,Stratigraphy,Mt Newman,34520780
15181,592,2182121,172.0,174.0,Stratigraphy,Mt Newman,34520779
15182,592,2182121,170.0,172.0,Stratigraphy,Mt Newman,34520778
15183,592,2182121,168.0,170.0,Stratigraphy,Mt Newman,34520777
15184,592,2182121,166.0,168.0,Stratigraphy,Mt Newman,34520776
15185,592,2182121,164.0,166.0,Stratigraphy,Mt Newman,34520775
15186,592,2182121,162.0,164.0,Stratigraphy,Mt Newman,34520774
15187,592,2182121,160.0,162.0,Stratigraphy,Mt Newman,34520773
15188,592,2182121,158.0,160.0,Stratigraphy,Mt Newman,34520772
15189,592,2182121,156.0,158.0,Stratigraphy,Mt Newman,34520771
15190,592,2182121,154.0,156.0,Stratigraphy,Mt Newman,34520770
15191,592,2182121,152.0,154.0,Stratigraphy,Mt Newman,34520769
15193,592,2182121,148.0,150.0,Stratigraphy,Mt Newman,34520767
15194,592,2182121,146.0,148.0,Stratigraphy,Mt Newman,34520766
15195,592,2182121,144.0,146.0,Stratigraphy,Mt Newman,34520765
15196,592,2182121,142.0,144.0,Stratigraphy,Mt Newman,34520764
15197,592,2182121,140.0,142.0,Stratigraphy,Mt Newman,34520763
15198,592,2182121,138.0,140.0,Stratigraphy,Mt Newman,34520762
15199,592,2182121,136.0,138.0,Stratigraphy,Mt Newman,34520761
15200,592,2182121,134.0,136.0,Stratigraphy,Mt Newman,34520760
15201,592,2182121,132.0,134.0,Stratigraphy,Mt Newman,34520759
15202,592,2182121,130.0,132.0,Stratigraphy,Mt Newman,34520758
15203,592,2182121,128.0,130.0,Stratigraphy,Mt Newman,34520757
15204,592,2182121,126.0,128.0,Stratigraphy,Mt Newman,34520756
15205,592,2182121,124.0,126.0,Stratigraphy,Mt Newman,34520755
15206,592,2182121,122.0,124.0,Stratigraphy,Mt Newman,34520754
15207,592,2182121,120.0,122.0,Stratigraphy,Mt Newman,34520753
15209,592,2182121,116.0,118.0,Stratigraphy,Mt Newman,34520751
15210,592,2182121,114.0,116.0,Stratigraphy,Mt Newman,34520750
15211,592,2182121,112.0,114.0,Stratigraphy,Mt Newman,34520749
15212,592,2182121,110.0,112.0,Stratigraphy,Mt Newman,34520748
15213,592,2182121,108.0,110.0,Stratigraphy,Mt Newman,34520747
15214,592,2182121,106.0,108.0,Stratigraphy,Mt Newman,34520746
15215,592,2182121,104.0,106.0,Stratigraphy,Mt Newman,34520745
15216,592,2182121,102.0,104.0,Stratigraphy,Mt Newman,34520744
15217,592,2182121,100.0,102.0,Stratigraphy,Mt Newman,34520743
15218,592,2182121,98.0,100.0,Stratigraphy,Mt Newman,34520742
15219,592,2182121,96.0,98.0,Stratigraphy,Mt Newman,34520741
15220,592,2182121,94.0,96.0,Stratigraphy,Mt Newman,34520740
15221,592,2182121,92.0,94.0,Stratigraphy,Mt Newman,34520739
15222,592,2182121,90.0,92.0,Stratigraphy,Mt Newman,34520738
15223,592,2182121,88.0,90.0,Stratigraphy,TransCover,34520737
15225,592,2182121,84.0,86.0,Stratigraphy,TransCover,34520735
15226,592,2182121,82.0,84.0,Stratigraphy,TransCover,34520734
15227,592,2182121,80.0,82.0,Stratigraphy,TransCover,34520733
15228,592,2182121,78.0,80.0,Stratigraphy,TransCover,34520732
15229,592,2182121,76.0,78.0,Stratigraphy,TransCover,34520731
15230,592,2182121,74.0,76.0,Stratigraphy,TransCover,34520730
15231,592,2182121,72.0,74.0,Stratigraphy,TransCover,34520729
15232,592,2182121,70.0,72.0,Stratigraphy,TransCover,34520728
15233,592,2182121,68.0,70.0,Stratigraphy,TransCover,34520727
15234,592,2182121,66.0,68.0,Stratigraphy,TransCover,34520726
15235,592,2182121,64.0,66.0,Stratigraphy,TransCover,34520725
15236,592,2182121,62.0,64.0,Stratigraphy,TransCover,34520724
15237,592,2182121,60.0,62.0,Stratigraphy,TransCover,34520723
15238,592,2182121,58.0,60.0,Stratigraphy,TransCover,34520722
15239,592,2182121,56.0,58.0,Stratigraphy,TransCover,34520721
15241,592,2182121,52.0,54.0,Stratigraphy,TransCover,34520719
15242,592,2182121,50.0,52.0,Stratigraphy,TransCover,34520718
15243,592,2182121,48.0,50.0,Stratigraphy,TransCover,34520717
15244,592,2182121,46.0,48.0,Stratigraphy,TransCover,34520716
15245,592,2182121,44.0,46.0,Stratigraphy,TransCover,34520715
15246,592,2182121,42.0,44.0,Stratigraphy,TransCover,34520714
15247,592,2182121,40.0,42.0,Stratigraphy,TransCover,34520713
15248,592,2182121,38.0,40.0,Stratigraphy,TransCover,34520712
15249,592,2182121,36.0,38.0,Stratigraphy,TransCover,34520711
15250,592,2182121,34.0,36.0,Stratigraphy,TransCover,34520710
15251,592,2182121,32.0,34.0,Stratigraphy,TransCover,34520709
15252,592,2182121,30.0,32.0,Stratigraphy,TransCover,34520708
15253,592,2182121,28.0,30.0,Stratigraphy,TransCover,34520707
15254,592,2182121,26.0,28.0,Stratigraphy,TransCover,34520706
