,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
66290,2670,2470157,60.0,62.0,Stratigraphy,TransCover,38816661
66291,2670,2470157,54.0,56.0,Stratigraphy,TransCover,38816658
66292,2670,2470157,48.0,50.0,Stratigraphy,TransCover,38816655
66293,2670,2470157,46.0,48.0,Stratigraphy,TransCover,38816654
66294,2670,2470157,32.0,34.0,Stratigraphy,TransCover,38816647
66295,2670,2470157,30.0,32.0,Stratigraphy,TransCover,38816646
66296,2670,2470157,22.0,24.0,Stratigraphy,TransCover,38816642
66297,2670,2470157,18.0,20.0,Stratigraphy,TransCover,38816640
66299,2670,2470157,0.0,2.0,Stratigraphy,TransCover,38816631
67026,2670,2470157,70.0,72.0,Stratigraphy,TransCover,38816666
67027,2670,2470157,76.0,78.0,Stratigraphy,TransCover,38816669
67028,2670,2470157,98.0,100.0,Stratigraphy,Mt Newman,38816680
67029,2670,2470157,104.0,106.0,Stratigraphy,McLeod,38816683
68781,2670,2470157,106.0,108.0,Stratigraphy,McLeod,38816684
68782,2670,2470157,90.0,92.0,Stratigraphy,Mt Newman,38816676
68783,2670,2470157,72.0,74.0,Stratigraphy,TransCover,38816667
69490,2670,2470157,14.0,16.0,Stratigraphy,TransCover,38816638
69491,2670,2470157,20.0,22.0,Stratigraphy,TransCover,38816641
69492,2670,2470157,28.0,30.0,Stratigraphy,TransCover,38816645
69493,2670,2470157,34.0,36.0,Stratigraphy,TransCover,38816648
69494,2670,2470157,44.0,46.0,Stratigraphy,TransCover,38816653
69495,2670,2470157,50.0,52.0,Stratigraphy,TransCover,38816656
69496,2670,2470157,58.0,60.0,Stratigraphy,TransCover,38816660
69497,2670,2470157,66.0,68.0,Stratigraphy,TransCover,38816664
69498,2670,2470157,86.0,88.0,Stratigraphy,Mt Newman,38816674
69499,2670,2470157,100.0,102.0,Stratigraphy,Mt Newman,38816681
70290,2670,2470157,62.0,64.0,Stratigraphy,TransCover,38816662
70291,2670,2470157,52.0,54.0,Stratigraphy,TransCover,38816657
70292,2670,2470157,36.0,38.0,Stratigraphy,TransCover,38816649
70293,2670,2470157,24.0,26.0,Stratigraphy,TransCover,38816643
70658,2670,2470157,64.0,66.0,Stratigraphy,TransCover,38816663
70659,2670,2470157,78.0,80.0,Stratigraphy,Mt Newman,38816670
71536,2670,2470157,92.0,94.0,Stratigraphy,Mt Newman,38816677
71890,2670,2470157,12.0,14.0,Stratigraphy,TransCover,38816637
71891,2670,2470157,26.0,28.0,Stratigraphy,TransCover,38816644
71892,2670,2470157,42.0,44.0,Stratigraphy,TransCover,38816652
