,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
12379,592,2182253,76.0,78.0,Stratigraphy,McLeod,34530468
12380,592,2182253,74.0,76.0,Stratigraphy,McLeod,34530467
12381,592,2182253,72.0,74.0,Stratigraphy,McLeod,34530466
12382,592,2182253,70.0,72.0,Stratigraphy,Mt Newman,34530465
12383,592,2182253,68.0,70.0,Stratigraphy,Mt Newman,34530464
12384,592,2182253,66.0,68.0,Stratigraphy,Mt Newman,34530463
12385,592,2182253,64.0,66.0,Stratigraphy,Mt Newman,34530462
12386,592,2182253,62.0,64.0,Stratigraphy,Mt Newman,34530461
12387,592,2182253,60.0,62.0,Stratigraphy,Mt Newman,34530460
12388,592,2182253,58.0,60.0,Stratigraphy,Mt Newman,34530459
12389,592,2182253,56.0,58.0,Stratigraphy,Mt Newman,34530458
12390,592,2182253,54.0,56.0,Stratigraphy,Mt Newman,34530457
12391,592,2182253,52.0,54.0,Stratigraphy,Mt Newman,34530456
12393,592,2182253,48.0,50.0,Stratigraphy,Mt Newman,34530454
12394,592,2182253,46.0,48.0,Stratigraphy,Mt Newman,34530453
12395,592,2182253,44.0,46.0,Stratigraphy,Mt Newman,34530452
12396,592,2182253,42.0,44.0,Stratigraphy,Mt Newman,34530451
12397,592,2182253,40.0,42.0,Stratigraphy,Mt Newman,34530450
12398,592,2182253,38.0,40.0,Stratigraphy,Mt Newman,34530449
12399,592,2182253,36.0,38.0,Stratigraphy,Mt Newman,34530448
12400,592,2182253,34.0,36.0,Stratigraphy,TransCover,34530447
12401,592,2182253,32.0,34.0,Stratigraphy,TransCover,34530446
12402,592,2182253,30.0,32.0,Stratigraphy,TransCover,34530445
12403,592,2182253,28.0,30.0,Stratigraphy,TransCover,34530444
12404,592,2182253,26.0,28.0,Stratigraphy,TransCover,34530443
12405,592,2182253,24.0,26.0,Stratigraphy,TransCover,34530442
12406,592,2182253,22.0,24.0,Stratigraphy,TransCover,34530441
12407,592,2182253,20.0,22.0,Stratigraphy,TransCover,34530440
12409,592,2182253,16.0,18.0,Stratigraphy,TransCover,34530438
12410,592,2182253,14.0,16.0,Stratigraphy,TransCover,34530437
12411,592,2182253,12.0,14.0,Stratigraphy,TransCover,34530436
12412,592,2182253,10.0,12.0,Stratigraphy,TransCover,34530435
12413,592,2182253,8.0,10.0,Stratigraphy,TransCover,34530434
12414,592,2182253,6.0,8.0,Stratigraphy,TransCover,34530433
12415,592,2182253,4.0,6.0,Stratigraphy,TransCover,34530432
12416,592,2182253,2.0,4.0,Stratigraphy,TransCover,34530431
12417,592,2182253,0.0,2.0,Stratigraphy,TransCover,34530430
28392,592,2182253,50.0,52.0,Stratigraphy,Mt Newman,34530455
28400,592,2182253,18.0,20.0,Stratigraphy,TransCover,34530439
42276,592,2182253,76.0,78.0,Stratigraphy,McLeod,34530468
42277,592,2182253,74.0,76.0,Stratigraphy,McLeod,34530467
42278,592,2182253,72.0,74.0,Stratigraphy,McLeod,34530466
42279,592,2182253,70.0,72.0,Stratigraphy,Mt Newman,34530465
42280,592,2182253,68.0,70.0,Stratigraphy,Mt Newman,34530464
42281,592,2182253,66.0,68.0,Stratigraphy,Mt Newman,34530463
42282,592,2182253,64.0,66.0,Stratigraphy,Mt Newman,34530462
42283,592,2182253,62.0,64.0,Stratigraphy,Mt Newman,34530461
42284,592,2182253,60.0,62.0,Stratigraphy,Mt Newman,34530460
42285,592,2182253,58.0,60.0,Stratigraphy,Mt Newman,34530459
42286,592,2182253,56.0,58.0,Stratigraphy,Mt Newman,34530458
42287,592,2182253,54.0,56.0,Stratigraphy,Mt Newman,34530457
42288,592,2182253,52.0,54.0,Stratigraphy,Mt Newman,34530456
42290,592,2182253,48.0,50.0,Stratigraphy,Mt Newman,34530454
42291,592,2182253,46.0,48.0,Stratigraphy,Mt Newman,34530453
42292,592,2182253,44.0,46.0,Stratigraphy,Mt Newman,34530452
42293,592,2182253,42.0,44.0,Stratigraphy,Mt Newman,34530451
42294,592,2182253,40.0,42.0,Stratigraphy,Mt Newman,34530450
42295,592,2182253,38.0,40.0,Stratigraphy,Mt Newman,34530449
42296,592,2182253,36.0,38.0,Stratigraphy,Mt Newman,34530448
42297,592,2182253,34.0,36.0,Stratigraphy,TransCover,34530447
42298,592,2182253,32.0,34.0,Stratigraphy,TransCover,34530446
42299,592,2182253,30.0,32.0,Stratigraphy,TransCover,34530445
42300,592,2182253,28.0,30.0,Stratigraphy,TransCover,34530444
42301,592,2182253,26.0,28.0,Stratigraphy,TransCover,34530443
42302,592,2182253,24.0,26.0,Stratigraphy,TransCover,34530442
42303,592,2182253,22.0,24.0,Stratigraphy,TransCover,34530441
42304,592,2182253,20.0,22.0,Stratigraphy,TransCover,34530440
42306,592,2182253,16.0,18.0,Stratigraphy,TransCover,34530438
42307,592,2182253,14.0,16.0,Stratigraphy,TransCover,34530437
42308,592,2182253,12.0,14.0,Stratigraphy,TransCover,34530436
42309,592,2182253,10.0,12.0,Stratigraphy,TransCover,34530435
42310,592,2182253,8.0,10.0,Stratigraphy,TransCover,34530434
42311,592,2182253,6.0,8.0,Stratigraphy,TransCover,34530433
42312,592,2182253,4.0,6.0,Stratigraphy,TransCover,34530432
42313,592,2182253,2.0,4.0,Stratigraphy,TransCover,34530431
42314,592,2182253,0.0,2.0,Stratigraphy,TransCover,34530430
58289,592,2182253,50.0,52.0,Stratigraphy,Mt Newman,34530455
58297,592,2182253,18.0,20.0,Stratigraphy,TransCover,34530439
