,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
10311,592,2181777,173.5,175.0,Stratigraphy,McLeod,34498353
10313,592,2181777,164.5,171.7,Stratigraphy,McLeod,34498351
10315,592,2181777,157.3,161.5,Stratigraphy,McLeod,34498349
10317,592,2181777,155.0,156.6,Stratigraphy,McLeod,34498347
10319,592,2181777,153.9,154.0,Stratigraphy,McLeod,34498345
10321,592,2181777,152.8,153.2,Stratigraphy,McLeod,34498342
10323,592,2181777,152.5,152.7,Stratigraphy,McLeod,34498340
10325,592,2181777,149.5,151.0,Stratigraphy,McLeod,34498337
10327,592,2181777,146.0,149.0,Stratigraphy,McLeod,34498335
10329,592,2181777,144.5,145.2,Stratigraphy,McLeod,34498333
10331,592,2181777,142.1,143.0,Stratigraphy,McLeod,34498331
10333,592,2181777,141.5,141.9,Stratigraphy,McLeod,34498329
10335,592,2181777,138.9,140.0,Stratigraphy,McLeod,34498327
10337,592,2181777,137.0,138.5,Stratigraphy,McLeod,34498325
10339,592,2181777,134.3,135.5,Stratigraphy,Mt Newman,34498323
10341,592,2181777,131.3,132.8,Stratigraphy,Mt Newman,34498321
10343,592,2181777,130.4,131.0,Stratigraphy,Mt Newman,34498319
10345,592,2181777,128.4,129.0,Stratigraphy,Mt Newman,34498317
10347,592,2181777,126.4,127.7,Stratigraphy,Mt Newman,34498314
10349,592,2181777,124.7,124.9,Stratigraphy,Mt Newman,34498312
10351,592,2181777,124.1,124.5,Stratigraphy,Mt Newman,34498310
10353,592,2181777,123.5,124.0,Stratigraphy,Mt Newman,34498308
10355,592,2181777,122.4,122.8,Stratigraphy,Mt Newman,34498306
10357,592,2181777,121.9,122.2,Stratigraphy,Mt Newman,34498304
10359,592,2181777,119.8,120.8,Stratigraphy,Mt Newman,34498302
10361,592,2181777,118.9,119.4,Stratigraphy,Mt Newman,34498300
10363,592,2181777,116.9,118.1,Stratigraphy,Mt Newman,34498298
10365,592,2181777,114.3,115.9,Stratigraphy,Mt Newman,34498296
10367,592,2181777,111.3,112.8,Stratigraphy,Mt Newman,34498294
10369,592,2181777,108.4,109.6,Stratigraphy,Mt Newman,34498292
10371,592,2181777,107.0,107.4,Stratigraphy,Mt Newman,34498290
10373,592,2181777,105.6,106.6,Stratigraphy,Mt Newman,34498288
10375,592,2181777,104.0,105.4,Stratigraphy,Mt Newman,34498286
10377,592,2181777,100.8,102.4,Stratigraphy,Mt Newman,34498284
10379,592,2181777,98.0,99.5,Stratigraphy,Mt Newman,34498282
10381,592,2181777,94.8,96.4,Stratigraphy,Mt Newman,34498280
10383,592,2181777,92.0,93.5,Stratigraphy,Mt Newman,34498278
10385,592,2181777,89.0,90.5,Stratigraphy,Mt Newman,34498276
10387,592,2181777,86.0,87.5,Stratigraphy,Mt Newman,34498274
