,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
11510,592,2182317,0.0,14.5,Stratigraphy,TransCover,34533395
11517,592,2182317,14.5,15.0,Stratigraphy,TransCover,34533396
11526,592,2182317,15.0,16.0,Stratigraphy,TransCover,34533397
11533,592,2182317,16.0,19.8,Stratigraphy,TransCover,34533398
11541,592,2182317,19.8,23.5,Stratigraphy,LWA,34533399
11548,592,2182317,23.5,25.0,Stratigraphy,LWA,34533400
11558,592,2182317,25.0,29.1,Stratigraphy,LWA,34533401
11565,592,2182317,29.1,33.6,Stratigraphy,LWA,34533402
11573,592,2182317,33.6,36.8,Stratigraphy,LWA,34533403
11580,592,2182317,36.8,38.0,Stratigraphy,LWA,34533404
11589,592,2182317,38.0,40.5,Stratigraphy,LWA,34533405
11596,592,2182317,40.5,41.8,Stratigraphy,LWA,34533406
11604,592,2182317,41.8,42.2,Stratigraphy,LWA,34533407
11611,592,2182317,42.2,44.7,Stratigraphy,LWA,34533408
11622,592,2182317,44.7,49.2,Stratigraphy,LWA,34533409
11629,592,2182317,49.2,49.8,Stratigraphy,LWA,34533410
11637,592,2182317,49.8,52.0,Stratigraphy,LWA,34533411
11644,592,2182317,52.0,56.5,Stratigraphy,Mt Newman,34533412
11653,592,2182317,56.5,58.5,Stratigraphy,Mt Newman,34533413
11660,592,2182317,58.5,62.6,Stratigraphy,Mt Newman,34533414
11670,592,2182317,62.6,63.0,Stratigraphy,Mt Newman,34533415
11692,592,2182317,63.0,64.8,Stratigraphy,Mt Newman,34533416
11804,592,2182317,64.8,69.0,Stratigraphy,Mt Newman,34533417
11816,592,2182317,69.0,69.8,Stratigraphy,Mt Newman,34533418
11831,592,2182317,69.8,71.3,Stratigraphy,Mt Newman,34533419
11844,592,2182317,71.3,73.8,Stratigraphy,Mt Newman,34533420
11860,592,2182317,73.8,77.9,Stratigraphy,Mt Newman,34533421
11872,592,2182317,77.9,78.7,Stratigraphy,Mt Newman,34533422
11886,592,2182317,78.7,81.0,Stratigraphy,Mt Newman,34533423
11898,592,2182317,81.0,86.0,Stratigraphy,Mt Newman,34533424
41407,592,2182317,0.0,14.5,Stratigraphy,TransCover,34533395
41414,592,2182317,14.5,15.0,Stratigraphy,TransCover,34533396
41423,592,2182317,15.0,16.0,Stratigraphy,TransCover,34533397
41430,592,2182317,16.0,19.8,Stratigraphy,TransCover,34533398
41438,592,2182317,19.8,23.5,Stratigraphy,LWA,34533399
41445,592,2182317,23.5,25.0,Stratigraphy,LWA,34533400
41455,592,2182317,25.0,29.1,Stratigraphy,LWA,34533401
41462,592,2182317,29.1,33.6,Stratigraphy,LWA,34533402
41470,592,2182317,33.6,36.8,Stratigraphy,LWA,34533403
41477,592,2182317,36.8,38.0,Stratigraphy,LWA,34533404
41486,592,2182317,38.0,40.5,Stratigraphy,LWA,34533405
41493,592,2182317,40.5,41.8,Stratigraphy,LWA,34533406
41501,592,2182317,41.8,42.2,Stratigraphy,LWA,34533407
41508,592,2182317,42.2,44.7,Stratigraphy,LWA,34533408
41519,592,2182317,44.7,49.2,Stratigraphy,LWA,34533409
41526,592,2182317,49.2,49.8,Stratigraphy,LWA,34533410
41534,592,2182317,49.8,52.0,Stratigraphy,LWA,34533411
41541,592,2182317,52.0,56.5,Stratigraphy,Mt Newman,34533412
41550,592,2182317,56.5,58.5,Stratigraphy,Mt Newman,34533413
41557,592,2182317,58.5,62.6,Stratigraphy,Mt Newman,34533414
41567,592,2182317,62.6,63.0,Stratigraphy,Mt Newman,34533415
41589,592,2182317,63.0,64.8,Stratigraphy,Mt Newman,34533416
41701,592,2182317,64.8,69.0,Stratigraphy,Mt Newman,34533417
41713,592,2182317,69.0,69.8,Stratigraphy,Mt Newman,34533418
41728,592,2182317,69.8,71.3,Stratigraphy,Mt Newman,34533419
41741,592,2182317,71.3,73.8,Stratigraphy,Mt Newman,34533420
41757,592,2182317,73.8,77.9,Stratigraphy,Mt Newman,34533421
41769,592,2182317,77.9,78.7,Stratigraphy,Mt Newman,34533422
41783,592,2182317,78.7,81.0,Stratigraphy,Mt Newman,34533423
41795,592,2182317,81.0,86.0,Stratigraphy,Mt Newman,34533424
