,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
29377,592,2182313,47.0,47.8,Stratigraphy,Mt Newman,34533322
29378,592,2182313,46.55,47.0,Stratigraphy,Mt Newman,34533321
29379,592,2182313,44.0,46.55,Stratigraphy,Mt Newman,34533320
29381,592,2182313,42.0,43.2,Stratigraphy,Mt Newman,34533318
29383,592,2182313,39.5,39.7,Stratigraphy,Mt Newman,34533316
29385,592,2182313,36.6,37.5,Stratigraphy,Mt Newman,34533314
29386,592,2182313,35.7,36.6,Stratigraphy,Mt Newman,34533313
29387,592,2182313,35.0,35.7,Stratigraphy,Mt Newman,34533312
29389,592,2182313,31.8,34.4,Stratigraphy,Mt Newman,34533310
29391,592,2182313,26.1,29.0,Stratigraphy,Mt Newman,34533308
29393,592,2182313,21.8,25.3,Stratigraphy,Mt Newman,34533306
29394,592,2182313,20.6,21.8,Stratigraphy,Mt Newman,34533305
29395,592,2182313,17.8,20.6,Stratigraphy,Mt Newman,34533304
29397,592,2182313,13.9,16.8,Stratigraphy,Mt Newman,34533302
29399,592,2182313,11.2,12.4,Stratigraphy,TransCover,34533300
29401,592,2182313,7.0,9.2,Stratigraphy,TransCover,34533298
29402,592,2182313,5.5,7.0,Stratigraphy,TransCover,34533297
29403,592,2182313,4.4,5.5,Stratigraphy,TransCover,34533296
29405,592,2182313,1.6,3.3,Stratigraphy,TransCover,34533294
29407,592,2182313,0.0,0.6,Stratigraphy,TransCover,34533292
33852,592,2182313,0.6,1.6,Stratigraphy,TransCover,34533293
33854,592,2182313,3.3,4.4,Stratigraphy,TransCover,34533295
33859,592,2182313,9.2,11.2,Stratigraphy,TransCover,34533299
33860,592,2182313,12.4,13.9,Stratigraphy,Mt Newman,34533301
33862,592,2182313,16.8,17.8,Stratigraphy,Mt Newman,34533303
33866,592,2182313,25.3,26.1,Stratigraphy,Mt Newman,34533307
33867,592,2182313,29.0,31.8,Stratigraphy,Mt Newman,34533309
33869,592,2182313,34.4,35.0,Stratigraphy,Mt Newman,34533311
33875,592,2182313,37.5,39.5,Stratigraphy,Mt Newman,34533315
33876,592,2182313,39.7,42.0,Stratigraphy,Mt Newman,34533317
33878,592,2182313,43.2,44.0,Stratigraphy,Mt Newman,34533319
33882,592,2182313,47.8,48.0,Stratigraphy,Mt Newman,34533323
59274,592,2182313,47.0,47.8,Stratigraphy,Mt Newman,34533322
59275,592,2182313,46.55,47.0,Stratigraphy,Mt Newman,34533321
59276,592,2182313,44.0,46.55,Stratigraphy,Mt Newman,34533320
59278,592,2182313,42.0,43.2,Stratigraphy,Mt Newman,34533318
59280,592,2182313,39.5,39.7,Stratigraphy,Mt Newman,34533316
59282,592,2182313,36.6,37.5,Stratigraphy,Mt Newman,34533314
59283,592,2182313,35.7,36.6,Stratigraphy,Mt Newman,34533313
59284,592,2182313,35.0,35.7,Stratigraphy,Mt Newman,34533312
59286,592,2182313,31.8,34.4,Stratigraphy,Mt Newman,34533310
59288,592,2182313,26.1,29.0,Stratigraphy,Mt Newman,34533308
59290,592,2182313,21.8,25.3,Stratigraphy,Mt Newman,34533306
59291,592,2182313,20.6,21.8,Stratigraphy,Mt Newman,34533305
59292,592,2182313,17.8,20.6,Stratigraphy,Mt Newman,34533304
59294,592,2182313,13.9,16.8,Stratigraphy,Mt Newman,34533302
59296,592,2182313,11.2,12.4,Stratigraphy,TransCover,34533300
59298,592,2182313,7.0,9.2,Stratigraphy,TransCover,34533298
59299,592,2182313,5.5,7.0,Stratigraphy,TransCover,34533297
59300,592,2182313,4.4,5.5,Stratigraphy,TransCover,34533296
59302,592,2182313,1.6,3.3,Stratigraphy,TransCover,34533294
59304,592,2182313,0.0,0.6,Stratigraphy,TransCover,34533292
63749,592,2182313,0.6,1.6,Stratigraphy,TransCover,34533293
63751,592,2182313,3.3,4.4,Stratigraphy,TransCover,34533295
63756,592,2182313,9.2,11.2,Stratigraphy,TransCover,34533299
63757,592,2182313,12.4,13.9,Stratigraphy,Mt Newman,34533301
63759,592,2182313,16.8,17.8,Stratigraphy,Mt Newman,34533303
63763,592,2182313,25.3,26.1,Stratigraphy,Mt Newman,34533307
63764,592,2182313,29.0,31.8,Stratigraphy,Mt Newman,34533309
63766,592,2182313,34.4,35.0,Stratigraphy,Mt Newman,34533311
63772,592,2182313,37.5,39.5,Stratigraphy,Mt Newman,34533315
63773,592,2182313,39.7,42.0,Stratigraphy,Mt Newman,34533317
63775,592,2182313,43.2,44.0,Stratigraphy,Mt Newman,34533319
63779,592,2182313,47.8,48.0,Stratigraphy,Mt Newman,34533323
