,companyid,CollarID,fromdepth,todepth,attributecolumn,attributevalue,dhgeologyid
25160,592,2182257,0.0,2.0,Stratigraphy,TransCover,34530691
25162,592,2182257,2.0,4.0,Stratigraphy,TransCover,34530692
25163,592,2182257,4.0,6.0,Stratigraphy,TransCover,34530693
25165,592,2182257,6.0,8.0,Stratigraphy,TransCover,34530694
25167,592,2182257,8.0,10.0,Stratigraphy,TransCover,34530695
25169,592,2182257,10.0,12.0,Stratigraphy,TransCover,34530696
25170,592,2182257,12.0,14.0,Stratigraphy,TransCover,34530697
25174,592,2182257,14.0,16.0,Stratigraphy,TransCover,34530698
25175,592,2182257,16.0,18.0,Stratigraphy,TransCover,34530699
25177,592,2182257,18.0,20.0,Stratigraphy,TransCover,34530700
25178,592,2182257,20.0,22.0,Stratigraphy,TransCover,34530701
25181,592,2182257,22.0,24.0,Stratigraphy,TransCover,34530702
25182,592,2182257,24.0,26.0,Stratigraphy,Mt Newman,34530703
25184,592,2182257,26.0,28.0,Stratigraphy,Mt Newman,34530704
25185,592,2182257,28.0,30.0,Stratigraphy,Mt Newman,34530705
25190,592,2182257,30.0,32.0,Stratigraphy,McLeod,34530706
25191,592,2182257,32.0,34.0,Stratigraphy,McLeod,34530707
25193,592,2182257,34.0,36.0,Stratigraphy,McLeod,34530708
25194,592,2182257,36.0,38.0,Stratigraphy,McLeod,34530709
25197,592,2182257,38.0,40.0,Stratigraphy,McLeod,34530710
25198,592,2182257,40.0,42.0,Stratigraphy,McLeod,34530711
25200,592,2182257,42.0,44.0,Stratigraphy,McLeod,34530712
25201,592,2182257,44.0,46.0,Stratigraphy,McLeod,34530713
25205,592,2182257,46.0,48.0,Stratigraphy,McLeod,34530714
25206,592,2182257,48.0,50.0,Stratigraphy,McLeod,34530715
25208,592,2182257,50.0,52.0,Stratigraphy,McLeod,34530716
25209,592,2182257,52.0,54.0,Stratigraphy,McLeod,34530717
25212,592,2182257,54.0,56.0,Stratigraphy,McLeod,34530718
25213,592,2182257,56.0,58.0,Stratigraphy,McLeod,34530719
25215,592,2182257,58.0,60.0,Stratigraphy,McLeod,34530720
25216,592,2182257,60.0,62.0,Stratigraphy,McLeod,34530721
25224,592,2182257,62.0,64.0,Stratigraphy,McLeod,34530722
25226,592,2182257,64.0,66.0,Stratigraphy,McLeod,34530723
55057,592,2182257,0.0,2.0,Stratigraphy,TransCover,34530691
55059,592,2182257,2.0,4.0,Stratigraphy,TransCover,34530692
55060,592,2182257,4.0,6.0,Stratigraphy,TransCover,34530693
55062,592,2182257,6.0,8.0,Stratigraphy,TransCover,34530694
55064,592,2182257,8.0,10.0,Stratigraphy,TransCover,34530695
55066,592,2182257,10.0,12.0,Stratigraphy,TransCover,34530696
55067,592,2182257,12.0,14.0,Stratigraphy,TransCover,34530697
55071,592,2182257,14.0,16.0,Stratigraphy,TransCover,34530698
55072,592,2182257,16.0,18.0,Stratigraphy,TransCover,34530699
55074,592,2182257,18.0,20.0,Stratigraphy,TransCover,34530700
55075,592,2182257,20.0,22.0,Stratigraphy,TransCover,34530701
55078,592,2182257,22.0,24.0,Stratigraphy,TransCover,34530702
55079,592,2182257,24.0,26.0,Stratigraphy,Mt Newman,34530703
55081,592,2182257,26.0,28.0,Stratigraphy,Mt Newman,34530704
55082,592,2182257,28.0,30.0,Stratigraphy,Mt Newman,34530705
55087,592,2182257,30.0,32.0,Stratigraphy,McLeod,34530706
55088,592,2182257,32.0,34.0,Stratigraphy,McLeod,34530707
55090,592,2182257,34.0,36.0,Stratigraphy,McLeod,34530708
55091,592,2182257,36.0,38.0,Stratigraphy,McLeod,34530709
55094,592,2182257,38.0,40.0,Stratigraphy,McLeod,34530710
55095,592,2182257,40.0,42.0,Stratigraphy,McLeod,34530711
55097,592,2182257,42.0,44.0,Stratigraphy,McLeod,34530712
55098,592,2182257,44.0,46.0,Stratigraphy,McLeod,34530713
55102,592,2182257,46.0,48.0,Stratigraphy,McLeod,34530714
55103,592,2182257,48.0,50.0,Stratigraphy,McLeod,34530715
55105,592,2182257,50.0,52.0,Stratigraphy,McLeod,34530716
55106,592,2182257,52.0,54.0,Stratigraphy,McLeod,34530717
55109,592,2182257,54.0,56.0,Stratigraphy,McLeod,34530718
55110,592,2182257,56.0,58.0,Stratigraphy,McLeod,34530719
55112,592,2182257,58.0,60.0,Stratigraphy,McLeod,34530720
55113,592,2182257,60.0,62.0,Stratigraphy,McLeod,34530721
55121,592,2182257,62.0,64.0,Stratigraphy,McLeod,34530722
55123,592,2182257,64.0,66.0,Stratigraphy,McLeod,34530723
