,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Unnamed: 10,Lithologies,Scores
1460,592,2181801,8,10.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1461,592,2181801,10,12.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1462,592,2181801,12,14.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1463,592,2181801,14,16.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1464,592,2181801,16,18.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1465,592,2181801,18,20.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1466,592,2181801,20,22.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1467,592,2181801,22,24.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1468,592,2181801,24,26.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
1469,592,2181801,26,28.0,highly weathered shale,mudstone,101,mudstone,clastic,sedimentary_rock,,mudstone,101
